Name,Synset State,Custom?,Leaf?,Definition,Parents,Children,Tasks,Direct Categories,Direct Objects,Total Objects,Requiring Task Count,Action,Done,Category,Label,Arg,Actual Object,Notes
half__hard-boiled_egg.n.01,Not Ready,TRUE,TRUE,,"boiled_egg.n.01,",,"halve_an_egg-0,",,0,0,1,NONE,,,,,,generate from hard boiled egg
half__lime.n.01,Not Ready,TRUE,TRUE,,"citrus.n.01,",,"make_a_mojito-0,                         make_chicken_fajitas-0,",,0,0,2,BUY,1,,,https://www.turbosquid.com/3d-models/3d-lime-half-1989150,,
half__log.n.01,Not Ready,TRUE,TRUE,,"wood.n.01,",,"chopping_wood-0,",,0,0,1,ACTION,,,,,,generate from log
half__mango.n.01,Not Ready,TRUE,TRUE,,"edible_fruit.n.01,",,"picking_fruit_and_vegetables-0,",,0,0,1,BUY,1,,,https://www.turbosquid.com/3d-models/3d-photo-realistic-mango-model/1015614,,
half__potato.n.01,Not Ready,TRUE,TRUE,,"root_vegetable.n.01,",,"prepare_make_ahead_breakfast_bowls-0,",,0,0,1,BUY,1,,,https://www.turbosquid.com/3d-models/3d-potatoset-1734766,,
half__zucchini.n.01,Not Ready,TRUE,TRUE,,"summer_squash.n.02,",,"freeze_vegetables-0,                         grill_vegetables-0,",,0,0,2,BUY,,,,,,
ham_hock.n.01,Not Ready,FALSE,TRUE,a small cut of meat from the leg just above the foot,"leg.n.05,",,"cook_ham_hocks-0,",,0,0,1,BUY,1,,,https://www.turbosquid.com/3d-models/3d-cutlet-1943138,,
handbook.n.01,Not Ready,FALSE,TRUE,a concise reference book providing specific information about a subject or location,"reference_book.n.01,",,"sorting_volunteer_materials-0,",,0,0,1,REPLACE,,,,catalog.n.01,,
hard-boiled_egg.n.01,Not Ready,FALSE,TRUE,an egg boiled gently until both the white and the yolk solidify,"boiled_egg.n.01,",,"halve_an_egg-0,",,0,0,1,BUY,1,,,3d dish rice (turbosquid.com),,need post processing
herbicide__bottle.n.01,Not Ready,TRUE,TRUE,,"vessel.n.03,",,"adding_chemicals_to_lawn-0,",,0,0,1,GENERATE,,herbicide_bottle,HERBICIDE,cleansing__bottle.n.01,ovjhuf,
honey__jar.n.01,Not Ready,TRUE,TRUE,,"vessel.n.03,",,"make_bagels-0,                         make_chocolate_spread-0,                         make_granola-0,                         make_oatmeal-0,                         make_popsicles-0,                         roast_meat-0,",,0,0,6,GENERATE,,honey_jar,HONEY,mason_jar.n.01,kijnrj,
hose.n.03,Not Ready,FALSE,TRUE,a flexible pipe for conveying a liquid or gas,"tube.n.01,",,"clean_rubber-0,",,0,0,1,BUY,1,,,hose obj (turbosquid.com),,
hot_sauce__bottle.n.01,Not Ready,TRUE,TRUE,,"vessel.n.03,",,"make_chicken_and_waffles-0,",,0,0,1,GENERATE,,hot_sauce_bottle,HOT SAUCE,squeeze_bottle.n.01,uzmhdn,
hotdog.n.02,Not Ready,FALSE,TRUE,a frankfurter served hot on a bun,"sandwich.n.01,",,"buy_food_for_camping-0,                         cook_hot_dogs-0,                         set_up_a_hot_dog_bar-0,",,0,0,3,ACTION,,,,,,Hot dog sandwich 3D model - TurboSquid 1283821
hummus__box.n.01,Not Ready,TRUE,TRUE,,"container.n.01,",,"cook_red_peppers-0,",,0,0,1,GENERATE,,hummus_box,HUMMUS,mason_jar.n.01,kijnrj,
hutch.n.01,Not Ready,FALSE,TRUE,a cage (usually made of wood and wire mesh) for small animals,"cage.n.01,",,"clean_out_a_guinea_pigs_hutch-0,                         set_up_a_guinea_pig_cage-0,                         set_up_a_mouse_cage-0,",,0,0,3,BUY,1,,,3D model Wire Dog Crate Double Door 01 - TurboSquid 1815556,,
hydrogen_peroxide__bottle.n.01,Not Ready,TRUE,TRUE,,"vessel.n.03,",,"clean_vans-0,",,0,0,1,GENERATE,,hydrogen_peroxide_bottle,HYDROGEN PEROXIDE,cleansing__bottle.n.01,ovjhuf,
ice.n.01,Not Ready,FALSE,TRUE,water frozen in the solid state,"crystal.n.01,",,"de_ice_a_car-0,                         removing_ice_from_walkways-0,",,0,0,2,BUY,1,,,3d 3ds ice cubes (turbosquid.com),,
ice_cream.n.01,Not Ready,FALSE,TRUE,frozen dessert containing cream and sugar and flavoring,"frozen_dessert.n.01,",,"make_a_frappe-0,                         make_a_milkshake-0,",,0,0,2,NONE,,,,,,
ice_cream__carton.n.01,Not Ready,TRUE,TRUE,,"box.n.01,",,"make_a_frappe-0,                         make_a_milkshake-0,",,0,0,2,GENERATE,,ice_cream_carton,ICE CREAM,mason_jar.n.01,kijnrj,
ice_lolly.n.01,Not Ready,FALSE,TRUE,ice cream or water ice on a small wooden stick,"frozen_dessert.n.01,",,"make_popsicles-0,",,0,0,1,ACTION,1,,,,,separate from mold object
ink__bottle.n.01,Not Ready,TRUE,TRUE,,"vessel.n.03,",,"staining_wood_furniture-0,",,0,0,1,NONE,,,,,,
insectifuge__atomizer.n.01,Not Ready,TRUE,TRUE,,"dispenser.n.01,",,"make_a_car_emergency_kit-0,                         spraying_for_bugs-0,",,0,0,2,GENERATE,,insectifuge_atomizer,INSECTIFUGE,atomizer.n.01,buxqkr,
instant_coffee__jar.n.01,Not Ready,TRUE,TRUE,,"vessel.n.03,",,"make_a_blended_iced_cappuccino-0,                         make_a_cappuccino-0,                         make_a_frappe-0,                         make_instant_coffee-0,",,0,0,4,GENERATE,,instant_coffee_jar,INSTANT COFFEE,mason_jar.n.01,kijnrj,
jacket.n.05,Not Ready,FALSE,TRUE,the tough metal shell casing for certain kinds of ammunition,"shell.n.08,",,"clean_brass_casings-0,",,0,0,1,BUY,1,,,3D Airgun Pellets - TurboSquid 1909770,,
jar__of__sodium_carbonate.n.01,Not Ready,TRUE,TRUE,,"grocery.n.02,",,"store_baking_soda-0,",,0,0,1,REPLACE,,,,box__of__baking_soda.n.01,,
jar__of__tomato_sauce.n.01,Not Ready,TRUE,TRUE,,"grocery.n.02,",,"putting_leftovers_away-0,                         putting_out_condiments-0,",,0,0,2,REPLACE,,,,jar__of__spaghetti_sauce.n.01,,
jelly__jar.n.01,Not Ready,TRUE,TRUE,,"vessel.n.03,",,"make_a_sandwich-0,",,0,0,1,GENERATE,,jelly_jar,JELLY,mason_jar.n.01,kijnrj,
jelly_bean__jar.n.01,Not Ready,TRUE,TRUE,,"vessel.n.03,",,"make_party_favors_from_candy-0,",,0,0,1,GENERATE,,jelly_bean_jar,JELLY BEAN,mason_jar.n.01,kijnrj,
jerky.n.01,Not Ready,FALSE,TRUE,meat (especially beef) cut in strips and dried in the sun,"meat.n.01,",,"loading_shopping_into_car-0,                         stash_snacks_in_your_room-0,",,0,0,2,BUY,1,,,3D Meat Jerky model - TurboSquid 1925905,,
jimmies__jar.n.01,Not Ready,TRUE,TRUE,,"vessel.n.03,",,"make_party_favors_from_candy-0,",,0,0,1,GENERATE,,jimmies_jar,JIMMIES,mason_jar.n.01,kijnrj,
kayak_rack.n.01,Not Ready,TRUE,TRUE,,"rack.n.01,",,"store_a_kayak-0,",,0,0,1,BUY,1,,,3D model rack boat - TurboSquid 1712932,,
keg.n.02,Not Ready,FALSE,TRUE,small cask or barrel,"barrel.n.02,",,"buy_a_keg-0,                         clean_a_beer_keg-0,",,0,0,2,REPLACE,,,,beer_barrel.n.01,,
kid_glove.n.01,Not Ready,FALSE,TRUE,a glove made of fine soft leather (as kidskin),"glove.n.02,",,"clean_suede_gloves-0,",,0,0,1,NONE,,,,,,
kielbasa.n.01,Not Ready,TRUE,TRUE,,"sausage.n.01,",,"cook_kielbasa-0,",,0,0,1,BUY,1,,,3D sausage 1 - TurboSquid 1152741,,
lace.n.01,Not Ready,FALSE,TRUE,a cord that is drawn through eyelets or around hooks in order to draw together two edges (as of a shoe or garment),"cord.n.01,",,"organizing_skating_stuff-0,",,0,0,1,BUY,1,,,3D shoelaces shoe laces - TurboSquid 1708133,,
lamb.n.05,Not Ready,FALSE,TRUE,the flesh of a young domestic sheep eaten as food,"meat.n.01,",,"cook_lamb-0,                         laying_out_a_feast-0,",,0,0,2,BUY,1,,,Raw lamb cutlet 3D - TurboSquid 1586872,,
lampshade.n.01,Not Ready,FALSE,TRUE,a protective ornamental shade used to screen a light bulb from direct view,"shade.n.03,",,"clean_paper_lampshades-0,                         unloading_shopping_items-0,",,0,0,2,BUY,1,,,Lampshade lamp shade 3D - TurboSquid 1594159,,
laundry.n.01,Not Ready,FALSE,TRUE,garments or white goods that can be cleaned by laundering,"garment.n.01,                         white_goods.n.02,",,"bringing_laundry-0,",,0,0,1,REPLACE,,,,garment.n.01,,
leftovers.n.01,Not Ready,FALSE,TRUE,food remaining from a previous meal,"food.n.02,",,"boxing_food_after_dinner-0,                         cleaning_up_after_an_event-0,                         clearing_table_after_supper-0,",,0,0,3,BUY,,,,,,
lemon-pepper_seasoning__shaker.n.01,Not Ready,TRUE,TRUE,,"container.n.01,",,"make_lemon_pepper_wings-0,",,0,0,1,GENERATE,,lemon_pepper_seasoning_shaker,LEMON-PEPPER SEASONING,shaker.n.03,nbjgci,
lemon_juice__bottle.n.01,Not Ready,TRUE,TRUE,,"vessel.n.03,",,"clean_brass_casings-0,                         clean_copper_wire-0,                         cook_asparagus-0,                         cook_clams-0,                         make_a_cheese_pastry-0,                         make_a_strawberry_slushie-0,                         make_a_vinegar_cleaning_solution-0,                         make_applesauce-0,                         make_blueberry_mousse-0,                         make_cake_filling-0,                       ...",,0,0,17,GENERATE,,lemon_juice_bottle,LEMON JUICE,oil__bottle.n.01,yoxfyu,
lemon_peel.n.01,Not Ready,FALSE,TRUE,the rind of a lemon,"peel.n.02,",,"make_lemon_pepper_seasoning-0,",,0,0,1,BUY,,,,,,
lemonade__bottle.n.01,Not Ready,TRUE,TRUE,,"vessel.n.03,",,"make_citrus_punch-0,                         make_watermelon_punch-0,",,0,0,2,GENERATE,,lemonade_bottle,LEMONADE,water_bottle.n.01,lzdzkk,
lens.n.01,Not Ready,FALSE,TRUE,a transparent optical device used to converge or diverge transmitted light and to form images,"optical_device.n.01,",,"clean_a_camera_lens-0,",,0,0,1,ACTION,,,,,,detach from digital camera
lime_juice__bottle.n.01,Not Ready,TRUE,TRUE,,"vessel.n.03,",,"make_limeade-0,                         mixing_drinks-0,",,0,0,2,GENERATE,,lime_juice_bottle,LIME JUICE,oil__bottle.n.01,yoxfyu,
liner.n.03,Not Ready,FALSE,TRUE,a piece of cloth that is used as the inside surface of a garment,"piece_of_cloth.n.01,",,"clean_a_small_pet_cage-0,",,0,0,1,NONE,,,,,,
lint_screen.n.01,Not Ready,TRUE,TRUE,,"screen.n.05,",,"removing_lint_from_dryer-0,",,0,0,1,BUY,,,,,,
liquid_soap__bottle.n.01,Not Ready,TRUE,TRUE,,"vessel.n.03,",,"clean_a_baking_stone-0,                         clean_a_bicycle_chain-0,                         clean_a_birdcage-0,                         clean_a_blender-0,                         clean_a_broiler_pan-0,                         clean_a_candle_jar-0,                         clean_a_coffee_maker-0,                         clean_a_drain-0,                         clean_a_fence-0,                         clean_a_glass_windshield-0,                       ...",,0,0,91,GENERATE,,liquid_soap_bottle,LIQUID SOAP,cleansing__bottle.n.01,ovjhuf,
lubricant__bottle.n.01,Not Ready,TRUE,TRUE,,"vessel.n.03,",,"lube_a_bicycle_chain-0,",,0,0,1,GENERATE,,lubricant_bottle,LUBRICANT,cleansing__bottle.n.01,ovjhuf,
maple_syrup__jar.n.01,Not Ready,TRUE,TRUE,,"vessel.n.03,",,"glaze_a_ham-0,                         make_a_tropical_breakfast-0,                         make_chicken_and_waffles-0,                         make_cinnamon_toast-0,",,0,0,4,GENERATE,,maple_syrup_jar,MAPLE SYRUP,mason_jar.n.01,kijnrj,
margarine__box.n.01,Not Ready,TRUE,TRUE,,"container.n.01,",,"grease_and_flour_a_pan-0,",,0,0,1,GENERATE,,margarine_box,MARGARINE,mason_jar.n.01,kijnrj,
marinara__jar.n.01,Not Ready,TRUE,TRUE,,"vessel.n.03,",,"making_a_meal-0,                         preparing_food_for_company-0,",,0,0,2,GENERATE,,marinara_jar,MARINARA,mason_jar.n.01,kijnrj,
marjoram__shaker.n.01,Not Ready,TRUE,TRUE,,"container.n.01,",,"cook_mussels-0,                         make_chicken_fajitas-0,                         make_pasta_sauce-0,                         make_pizza-0,                         make_pizza_sauce-0,                         make_red_beans_and_rice-0,                         make_seafood_stew-0,",,0,0,7,GENERATE,,marjoram_shaker,MARJORAM,shaker.n.03,nbjgci,
mat.n.01,Not Ready,FALSE,TRUE,a thick flat pad used as a floor covering,"floor_cover.n.01,",,"clean_cork_mats-0,                         clean_rubber_bathmats-0,                         prepare_your_garden_for_a_cat-0,",,0,0,3,NONE,,,,,,
meat_loaf.n.01,Not Ready,FALSE,TRUE,a baked loaf of ground meat,"dish.n.02,                         loaf_of_bread.n.01,",,"make_meatloaf-0,",,0,0,1,BUY,1,,,3D model malt loaf - TurboSquid 1257826,,
meatball.n.01,Not Ready,FALSE,TRUE,ground meat formed into a ball and fried or simmered in broth,"dish.n.02,",,"making_a_meal-0,",,0,0,1,BUY,1,,,Ground beef model - TurboSquid 1448585,,
milk__carton.n.01,Not Ready,TRUE,TRUE,,"box.n.01,",,"make_a_blended_iced_cappuccino-0,                         make_a_milkshake-0,                         make_an_iced_espresso-0,                         make_batter-0,                         make_biscuits-0,                         make_chocolate_milk-0,                         make_cream_from_milk-0,                         make_dinner_rolls-0,                         make_eggnog-0,                         make_hot_cocoa-0,                       ...",,0,0,18,GENERATE,,milk_carton,MILK,jug.n.01,quzmfw,
mold.n.02,Not Ready,FALSE,TRUE,container into which liquid is poured to create a given shape when it hardens,"container.n.01,",,"make_popsicles-0,",,0,0,1,BUY,1,,,3D Homemade Ice Cream Popsicle Mold model - TurboSquid 1769401,,need postprocessing
mulch__bag.n.01,Not Ready,TRUE,TRUE,,"container.n.01,",,"mulching-0,",,0,0,1,GENERATE,,mulch_bag,MULCH,gunnysack.n.01,endfho,
mustard.n.03,Not Ready,FALSE,TRUE,leaves eaten as cooked greens,"cruciferous_vegetable.n.01,",,"cook_mustard_greens-0,",,0,0,1,BUY,1,,,https://www.turbosquid.com/3d-models/coffee-tree-3d-model-1681315,,
mustard__bottle.n.01,Not Ready,TRUE,TRUE,,"vessel.n.03,",,"cooking_lunch-0,",,0,0,1,GENERATE,,mustard_bottle,MUSTARD,squeeze_bottle.n.01,uzmhdn,
mustard_seed__shaker.n.01,Not Ready,TRUE,TRUE,,"vessel.n.03,",,"make_mustard_herb_and_spice_seasoning-0,",,0,0,1,GENERATE,,mustard_seed_shaker,MUSTARD SEED,shaker.n.03,nbjgci,
noodle__jar.n.01,Not Ready,TRUE,TRUE,,"vessel.n.03,",,"make_macaroni_and_cheese-0,",,0,0,1,GENERATE,,noodle_jar,NOODLE,mason_jar.n.01,kijnrj,
novel.n.02,Not Ready,FALSE,TRUE,a printed and bound book that is an extended work of fiction,"book.n.02,",,"setting_up_living_room_for_guest-0,",,0,0,1,REPLACE,,,,hardback.n.01,,
nutmeg__shaker.n.01,Not Ready,TRUE,TRUE,,"container.n.01,",,"make_cookies-0,                         make_eggnog-0,                         make_pumpkin_pie_spice-0,",,0,0,3,GENERATE,,nutmeg_shaker,NUTMEG,shaker.n.03,nbjgci,
oat__box.n.01,Not Ready,TRUE,TRUE,,"container.n.01,",,"make_granola-0,                         make_oatmeal-0,",,0,0,2,GENERATE,,oat_box,OAT,mason_jar.n.01,kijnrj,
olive_oil__bottle.n.01,Not Ready,TRUE,TRUE,,"vessel.n.03,",,"cook_asparagus-0,                         cook_chicken_and_rice-0,                         cook_green_beans-0,                         cook_kale-0,                         cook_onions-0,                         cook_peppers-0,                         cook_quail-0,                         cook_sausages-0,                         cook_vegetables-0,                         cook_zucchini-0,                       ...",,0,0,22,GENERATE,,olive_oil_bottle,OLIVE OIL,oil__bottle.n.01,yoxfyu,
onion_powder__shaker.n.01,Not Ready,TRUE,TRUE,,"container.n.01,",,"cook_ground_beef-0,",,0,0,1,GENERATE,,onion_powder_shaker,ONION POWDER,shaker.n.03,nbjgci,
orange_juice__carton.n.01,Not Ready,TRUE,TRUE,,"box.n.01,",,"make_citrus_punch-0,",,0,0,1,GENERATE,,orange_juice_carton,ORANGE JUICE,jug.n.01,quzmfw,
pack__of__ground_beef.n.01,Not Ready,TRUE,TRUE,,"grocery.n.02,",,"buy_meat_from_a_butcher-0,                         buy_natural_beef-0,                         putting_shopping_away-0,",,0,0,3,BUY,1,,,Wrapped Food Tray with Ground Meat 3D - TurboSquid 1980348,,
package.n.02,Not Ready,FALSE,TRUE,a wrapped container,"container.n.01,",,"buying_fast_food-0,                         collecting_mail_from_the_letterbox-0,                         getting_package_from_post_office-0,                         sending_packages-0,",,0,0,4,BUY,1,,,https://www.turbosquid.com/3d-models/3d-yellow-mail-package-small-2068970,,
pajama.n.01,Not Ready,FALSE,TRUE,a pair of loose trousers tied by a drawstring around the waist; worn by men and women in some Asian countries,"trouser.n.01,",,"putting_laundry_in_drawer-0,                         store_baby_clothes-0,",,0,0,2,REPLACE,,,,pajama.n.02,,
paprika__shaker.n.01,Not Ready,TRUE,TRUE,,"container.n.01,",,"cook_seafood_paella-0,                         cook_shrimp-0,                         make_chicken_fajitas-0,                         make_nachos-0,",,0,0,4,GENERATE,,paprika_shaker,PAPRIKA,shaker.n.03,nbjgci,
parmesan__shaker.n.01,Not Ready,TRUE,TRUE,,"vessel.n.03,",,"cook_vegetables-0,                         cooking_lunch-0,",,0,0,2,GENERATE,,parmesan_shaker,PARMESAN,shaker.n.03,nbjgci,
pasta__box.n.01,Not Ready,TRUE,TRUE,,"container.n.01,",,"cook_pasta-0,                         cooking_a_feast-0,                         making_a_meal-0,                         preparing_food_for_company-0,",,0,0,4,GENERATE,,pasta_box,PASTA,mason_jar.n.01,kijnrj,
pastry.n.01,Not Ready,FALSE,TRUE,a dough of flour and water and shortening,"dough.n.01,",,"make_pastry-0,",,0,0,1,ACTION,1,,,,,generate from cookie dough
patty.n.01,Not Ready,FALSE,TRUE,small flat mass of chopped food,"dish.n.02,",,"grill_burgers-0,",,0,0,1,BUY,1,,,3D model Fresh Raw Burger Patty - TurboSquid 2026569,,
peanut_butter__jar.n.01,Not Ready,TRUE,TRUE,,"vessel.n.03,",,"make_a_sandwich-0,                         make_homemade_bird_food-0,",,0,0,2,GENERATE,,peanut_butter_jar,PEANUT BUTTER,mason_jar.n.01,kijnrj,
pebble.n.01,Not Ready,FALSE,TRUE,a small smooth rounded rock,"rock.n.01,",,"polish_rocks-0,                         setup_a_fish_tank-0,",,0,0,2,ACTION,,,,,,rename object after we have images
pellet_food__bag.n.01,Not Ready,TRUE,TRUE,,"container.n.01,",,"set_up_a_guinea_pig_cage-0,",,0,0,1,GENERATE,,pellet_food_bag,PELLET FOOD,gunnysack.n.01,endfho,
pepperoni.n.01,Not Ready,FALSE,TRUE,a pork and beef sausage (or a thin slice of this sausage),"sausage.n.01,",,"make_pizza-0,",,0,0,1,ACTION,1,,,,,generate from pizza
person.n.01,Not Ready,FALSE,TRUE,a human being,"causal_agent.n.01,                         organism.n.01,",,"putting_in_a_pool-0,",,0,0,1,NONE,,,,,,
pesticide__atomizer.n.01,Not Ready,TRUE,TRUE,,"dispenser.n.01,",,"applying_pesticides-0,                         clean_a_garden_sprayer-0,                         putting_pesticides_on_lawn-0,                         spraying_fruit_trees-0,",,0,0,4,GENERATE,,pesticide_atomizer,PESTICIDE,atomizer.n.01,buxqkr,
petfood__bag.n.01,Not Ready,TRUE,TRUE,,"container.n.01,",,"set_up_a_mouse_cage-0,",,0,0,1,GENERATE,,petfood_bag,PETFOOD,gunnysack.n.01,endfho,
pewter_teapot.n.01,Not Ready,TRUE,TRUE,,"pot.n.01,",,"polish_pewter-0,",,0,0,1,BUY,1,,,Real pewter mug 3D model - TurboSquid 1479213,,
pineapple_juice__carton.n.01,Not Ready,TRUE,TRUE,,"box.n.01,",,"make_citrus_punch-0,",,0,0,1,GENERATE,,pineapple_juice_carton,PINEAPPLE JUICE,jug.n.01,quzmfw,
pinwheel.n.03,Not Ready,FALSE,TRUE,a toy consisting of vanes of colored paper or plastic that is pinned to a stick and spins when it is pointed into the wind,"plaything.n.01,",,"set_up_a_bird_cage-0,                         set_up_a_mouse_cage-0,",,0,0,2,REPLACE,,,,toy_figure.n.01,,
pizza_dough.n.01,Not Ready,TRUE,TRUE,,"dough.n.01,",,"make_pizza-0,                         make_pizza_dough-0,",,0,0,2,ACTION,1,,,,,generate from dough
plastic_wrap.n.01,Not Ready,FALSE,TRUE,wrapping consisting of a very thin transparent sheet of plastic,"wrapping.n.01,",,"cook_beef_and_onions-0,                         disposing_of_trash_for_adult-0,                         freeze_quiche-0,                         make_a_bake_sale_stand_stall-0,                         make_a_lunch_box-0,                         store_feta_cheese-0,",,0,0,6,BUY,1,,,Empty Wrapped Food Tray v2 Black 3D - TurboSquid 1981201,,need post processing
poinsettia.n.01,Not Ready,FALSE,TRUE,tropical American plant having poisonous milk and showy tapering usually scarlet petallike leaves surrounding small yellow flowers,"spurge.n.01,",,"putting_up_Christmas_decorations_outside-0,",,0,0,1,ACTION,,,,,,https://www.turbosquid.com/3d-models/forged-floor-flower-stand-3d-model-1477200
polish__bottle.n.01,Not Ready,TRUE,TRUE,,"vessel.n.03,",,"clean_a_bowling_ball-0,                         clean_a_leather_belt-0,                         clean_brass-0,                         clean_silver_coins-0,                         polish_a_car-0,                         polish_copper-0,                         polish_cymbals-0,                         polish_gold-0,                         polish_pewter-0,                         polish_rocks-0,                       ...",,0,0,11,GENERATE,,polish_bottle,POLISH,cleansing__bottle.n.01,ovjhuf,
pop_bottle.n.01,Not Ready,FALSE,TRUE,a bottle for holding soft drinks,"bottle.n.01,",,"buy_food_for_camping-0,                         returning_consumer_goods-0,                         selling_products_at_flea_market-0,                         stock_grocery_shelves-0,",,0,0,4,REPLACE,,,,bottle__of__soda.n.01,,
popcorn__bag.n.01,Not Ready,TRUE,TRUE,,"container.n.01,",,"make_microwave_popcorn-0,",,0,0,1,GENERATE,,popcorn_bag,POPCORN,gunnysack.n.01,endfho,
portrait.n.02,Not Ready,FALSE,TRUE,"any likeness of a person, in any medium","likeness.n.02,",,"setting_up_silent_auction-0,",,0,0,1,NONE,,,,,,renamed object
post-it.n.01,Not Ready,FALSE,TRUE,brand name for a slip of notepaper that has an adhesive that allows it to stick to a surface and be removed without damaging the surface,"notepaper.n.01,",,"organizing_office_documents-0,",,0,0,1,BUY,1,,,Post note model - TurboSquid 1239519,,
pottable__cactus.n.01,Not Ready,TRUE,TRUE,,"succulent.n.01,",,"planting_plants-0,",,0,0,1,BUY,1,,,https://www.turbosquid.com/3d-models/3d-model-cactus-plant/823881,,
pottable__daffodil.n.01,Not Ready,TRUE,TRUE,,"narcissus.n.01,",,"planting_plants-0,",,0,0,1,ACTION,1,,,,,get from daffodil bulb
pottable__dahlia.n.01,Not Ready,TRUE,TRUE,,"flower.n.01,",,"planting_flowers-0,",,0,0,1,BUY,1,,,https://www.turbosquid.com/3d-models/3d-model-dahlia-flowers-02-2054738,,
pottable__marigold.n.01,Not Ready,TRUE,TRUE,,"flower.n.01,",,"planting_flowers-0,                         prepare_a_hanging_basket-0,",,0,0,2,BUY,1,,,https://www.turbosquid.com/3d-models/max-marigolds/994652,,
price_tag.n.01,Not Ready,FALSE,TRUE,a tag showing the price of the article it is attached to,"tag.n.01,",,"selling_products_at_flea_market-0,",,0,0,1,BUY,1,,,Plastic Label Holder with Barcode 3D model - TurboSquid 1908733,,
pumpkin_seed__bag.n.01,Not Ready,TRUE,TRUE,,"container.n.01,",,"cook_pumpkin_seeds-0,                         make_a_small_vegetable_garden-0,                         planting_vegetables-0,",,0,0,3,GENERATE,,pumpkin_seed_bag,PUMPKIN SEED,gunnysack.n.01,endfho,
raisin__box.n.01,Not Ready,TRUE,TRUE,,"container.n.01,",,"make_homemade_bird_food-0,",,0,0,1,GENERATE,,raisin_box,RAISIN,mason_jar.n.01,kijnrj,
ramen.n.01,Not Ready,TRUE,TRUE,,"dish.n.02,",,"cook_ramen_noodles-0,",,0,0,1,ACTION,,,,,,
raw_egg.n.01,Not Ready,TRUE,TRUE,,"foodstuff.n.02,",,"baking_cookies_for_the_PTA_bake_sale-0,                         baking_sugar_cookies-0,                         cook_eggs-0,                         cooking_breakfast-0,                         make_a_cheese_pastry-0,                         make_a_wiener_schnitzle-0,                         make_an_egg_tomato_and_toast_breakfast-0,                         make_bagels-0,                         make_blueberry_mousse-0,                         make_brownies-0,                       ...",,0,0,18,BUY,1,,,3D egg food - TurboSquid 1379520,,
recreational_vehicle.n.01,Not Ready,FALSE,TRUE,a motorized wheeled vehicle used for camping or other recreational activities,"self-propelled_vehicle.n.01,",,"cleaning_camper_or_RV-0,                         packing_recreational_vehicle_for_trip-0,                         unpacking_recreational_vehicle_for_trip-0,",,0,0,3,BUY,1,,,3d van safari model (turbosquid.com),,
recycling_bin.n.01,Not Ready,FALSE,TRUE,a bin for depositing things to be recycled,"bin.n.01,",,"bringing_glass_to_recycling-0,                         bringing_paper_to_recycling-0,                         clean_a_company_office-0,                         clean_up_broken_glass-0,                         clean_your_house_after_a_wild_party-0,                         cleaning_garage-0,                         cleaning_parks-0,                         dispose_of_glass-0,                         dispose_of_paper-0,                         picking_up_litter-0,                       ...",,0,0,14,NONE,,,,,,renamed object
refried_beans__can.n.01,Not Ready,TRUE,TRUE,,"container.n.01,",,"make_burrito_bowls-0,",,0,0,1,GENERATE,,refried_beans_can,REFRIED BEANS,mason_jar.n.01,kijnrj,
ribbon.n.01,Not Ready,FALSE,TRUE,any long object resembling a thin line,"object.n.01,",,"make_a_candy_centerpiece-0,                         put_together_a_goodie_bag-0,                         putting_away_Christmas_decorations-0,",,0,0,3,BUY,1,,,3D model realistic curling ribbon - TurboSquid 1213357,,
rosemary__shaker.n.01,Not Ready,TRUE,TRUE,,"container.n.01,",,"cook_a_turkey-0,                         cook_potatoes-0,                         make_a_red_meat_sauce-0,                         make_mustard_herb_and_spice_seasoning-0,                         make_soup-0,                         saute_vegetables-0,",,0,0,6,NONE,,,,,,changed bottle_of to _shaker
router.n.02,Not Ready,FALSE,TRUE,(computer science) a device that forwards data packets between computer networks,"device.n.01,",,"set_up_a_home_office_in_your_garage-0,",,0,0,1,BUY,1,,,3D wifi router wifirouter - TurboSquid 1211888,,
rubbing_alcohol__atomizer.n.01,Not Ready,TRUE,TRUE,,"dispenser.n.01,",,"clean_a_flat_panel_monitor-0,",,0,0,1,GENERATE,,rubbing_alcohol_atomizer,RUBBING ALCOHOL,atomizer.n.01,asztxi,
rum__bottle.n.01,Not Ready,TRUE,TRUE,,"vessel.n.03,",,"make_a_mojito-0,                         make_eggnog-0,",,0,0,2,NONE,,,,,,
sack__of__white_rice.n.01,Not Ready,TRUE,TRUE,,"grocery.n.02,",,"buying_groceries-0,",,0,0,1,REPLACE,,,,sack__of__brown_rice.n.01,,
saddle_soap__bottle.n.01,Not Ready,TRUE,TRUE,,"vessel.n.03,",,"clean_a_purse-0,                         clean_dog_collars-0,                         clean_leather_sandals-0,",,0,0,3,GENERATE,,saddle_soap_bottle,SADDLE SOAP,cleansing__bottle.n.01,ovjhuf,
saffron__shaker.n.01,Not Ready,TRUE,TRUE,,"container.n.01,",,"cook_seafood_paella-0,",,0,0,1,GENERATE,,saffron_shaker,SAFFRON,shaker.n.03,nbjgci,
sage__shaker.n.01,Not Ready,TRUE,TRUE,,"container.n.01,",,"make_mustard_herb_and_spice_seasoning-0,",,0,0,1,GENERATE,,sage_shaker,SAGE,shaker.n.03,nbjgci,
