activity_name,scene0,scene1,scene2,quality_checked,currently_assigned,alltime_assigned,upworker,mistakes,stats
clean your pencil case,house_double_floor_lower,Pomaria_1_int,Wainscott_1_int,1,0,1,Tess,0,
clean your rusty garden tools,house_single_floor,Pomaria_0_garden,Beechwood_0_garden,1,0,1,Areeba,0,
cleaning around pool in garden,Pomaria_0_garden,house_single_floor,,1,0,1,Areeba,0,
cleaning boat,Pomaria_0_garden,Wainscott_0_garden,Beechwood_0_garden,1,0,1,Tess,0,
cleaning camper/RV,Pomaria_0_garden,Wainscott_0_garden,Beechwood_0_garden,1,0,1,Tess,0,
cleaning computer,hotel_suite_large,house_single_floor,,1,0,1,Tess,0,
cleaning cups in living room,Pomaria_1_int,Merom_0_int,Merom_0_garden,1,0,1,Tess,0,
cleaning debris out of car,Pomaria_0_garden,Merom_0_garden,Wainscott_0_garden,1,0,1,Areeba,0,
cleaning driveway,Merom_0_garden,house_double_floor_lower,Rs_garden,1,0,1,Areeba,0,
cleaning fan,restaurant_diner,house_single_floor,grocery_store_half_stocked,1,0,1,Kristin,0,
cleaning fishing gear,Merom_0_garden,Pomaria_0_garden,Rs_garden,1,0,1,Tess,0,
cleaning garden path,Beechwood_0_garden,house_double_floor_lower,house_single_floor,1,0,1,Tess,0,
cleaning garden tools,Beechwood_0_garden,Rs_garden,Wainscott_0_garden,1,0,1,Kristin,0,
cleaning glasses off bar,restaurant_brunch,restaurant_diner,restaurant_urban,1,0,1,Tess,0,
cleaning kitchen knives,house_single_floor,,,1,0,1,Tess,0,
cleaning lawnmowers,Wainscott_0_garden,Rs_garden,Beechwood_0_garden,1,0,0,Kristin,0,
cleaning mushrooms,restaurant_urban,restaurant_hotel,restaurant_urban,1,0,1,Tess,#REF!,
cleaning parks,Merom_0_garden,Pomaria_0_garden,Rs_garden,1,0,1,Elizabeth,0,
cleaning patio furniture,Beechwood_0_garden,house_single_floor,Rs_garden,1,0,1,Kristin,0,
cleaning pavement,house_double_floor_lower,Merom_0_garden,Pomaria_0_garden,1,0,1,Kristin,0,
cleaning pet bed,Beechwood_1_int,Merom_0_garden,Merom_0_int,1,0,1,Kristin,0,
cleaning rainboots,Beechwood_0_garden,Beechwood_0_int,Merom_0_int,1,0,1,Elizabeth,0,
cleaning restaurant table,restaurant_hotel,restaurant_urban,restaurant_asian,1,0,1,Elizabeth,0,
cleaning shed,Beechwood_0_garden,house_double_floor_lower,,1,0,0,Kristin,0,
cleaning skis,house_double_floor_lower,hall_train_station,grocery_store_cafe,1,0,1,Elizabeth,0,
cleaning stuff out of car,Merom_0_garden,Pomaria_0_garden,Wainscott_0_garden,1,0,1,Elizabeth,0,
cleaning the pond,Pomaria_0_garden,,,1,0,1,Elizabeth,0,
cleaning the yard,Wainscott_0_garden,Rs_garden,Pomaria_0_garden,1,0,1,Kristin,0,
cleaning tools and equipment,Beechwood_0_int,Beechwood_0_garden,Wainscott_1_int,1,0,1,Kristin,0,
cleaning up after an event,restaurant_hotel,Rs_int,Beechwood_0_int,1,0,1,Kristin,0,
cleaning up branches and twigs,Merom_0_garden,Pomaria_0_garden,Rs_garden,1,0,1,Kristin,0,
cleaning up plates and food,Wainscott_0_garden,restaurant_urban,restaurant_asian,1,0,1,Kristin,0,
cleaning vehicles,Ihlen_0_int,house_double_floor_lower,,1,0,1,Kristin,0,
clearing food from table into fridge,restaurant_asian,Ihlen_1_int,Wainscott_0_garden,1,0,1,Elizabeth,0,
clearing table after breakfast,restaurant_asian,Ihlen_1_int,Wainscott_0_garden,1,0,1,Areeba,0,
clearing table after coffee,Rs_garden,Wainscott_0_int,Pomaria_1_int,1,0,1,Areeba,0,
clearing table after dinner,restaurant_cafeteria,restaurant_hotel,restaurant_asian,1,0,1,Areeba,0,
clearing table after snacks,restaurant_cafeteria,Beechwood_0_int,Beechwood_0_garden,1,0,1,Areeba,0,
clearing table after supper,restaurant_cafeteria,restaurant_hotel,restaurant_asian,1,0,1,Areeba,0,
cold brew coffee,Wainscott_0_garden,Wainscott_0_int,,1,0,1,Kristin,0,
collecting berries,Beechwood_0_garden,house_single_floor,house_double_floor_lower,1,0,1,Areeba,0,
collecting children's toys,house_single_floor,,,1,0,1,Areeba,0,
collecting dishes from around house,house_double_floor_upper,,,1,0,1,Areeba,0,
collecting dishes from restaurant tables,restaurant_asian,restaurant_brunch,restaurant_hotel,1,0,1,Areeba,0,
collecting mail from the letterbox,Merom_0_garden,Pomaria_0_garden,Rs_garden,1,0,1,Areeba,0,
collecting wood,house_single_floor,Merom_0_garden,Wainscott_0_garden,1,0,1,Areeba,0,
composting waste,Rs_garden,Rs_int,,1,0,1,Areeba,0,
cook a brisket,restaurant_asian,house_single_floor,restaurant_hotel,1,0,1,Areeba,0,
cook a crab,house_double_floor_lower,house_single_floor,Merom_1_int,1,0,1,Areeba,0,
cook a duck,restaurant_urban,restaurant_asian,house_double_floor_lower,1,0,1,Areeba,0,
cook a frozen pie,house_double_floor_lower,Beechwood_0_garden,Benevolence_1_int,1,0,1,Areeba,0,
cook a ham,restaurant_brunch,house_double_floor_lower,restaurant_urban,1,0,1,Areeba,0,
cook a pumpkin,restaurant_asian,house_double_floor_lower,restaurant_hotel,1,0,1,Areeba,0,
cook a turkey,Wainscott_0_garden,house_double_floor_lower,restaurant_brunch,1,0,1,Areeba,0,
cook arepas,restaurant_brunch,restaurant_asian,restaurant_urban,1,0,1,Areeba,0,
cook asparagus,restaurant_brunch,restaurant_asian,restaurant_urban,1,0,1,Areeba,0,
cook bacon,restaurant_brunch,restaurant_asian,restaurant_urban,1,0,1,Areeba,0,
cook beans,restaurant_brunch,restaurant_asian,restaurant_urban,1,0,1,Areeba,0,
cook beef,Pomaria_1_int,restaurant_hotel,Rs_garden,1,0,1,Areeba,0,
cook beef and onions,Pomaria_1_int,restaurant_hotel,Rs_garden,1,0,1,Areeba,0,
cook beets,house_double_floor_lower,Wainscott_0_int,restaurant_cafeteria,1,0,1,Areeba,0,
cook bok choy,restaurant_asian,restaurant_hotel,restaurant_urban,1,0,1,Areeba,0,
cook bratwurst,restaurant_asian,Wainscott_0_garden,Beechwood_0_int,1,0,1,Areeba,0,
cook broccoli,restaurant_hotel,Rs_int,Wainscott_0_int,1,0,1,Areeba,0,
cook broccolini,house_double_floor_lower,Benevolence_1_int,restaurant_asian,1,0,1,Areeba,0,
cook brussels sprouts,restaurant_urban,Beechwood_0_garden,Pomaria_1_int,1,0,1,Areeba,0,
cook cabbage,restaurant_asian,restaurant_hotel,Merom_1_int,1,0,1,Areeba,0,
cook carrots,restaurant_urban,restaurant_asian,house_double_floor_lower,1,0,1,Johanna,0,
cook chicken,Ihlen_1_int,Beechwood_0_int,restaurant_asian,1,0,1,Johanna,0,
cook chicken and rice,Ihlen_1_int,Beechwood_0_int,restaurant_asian,1,0,1,Johanna,0,
cook chickpeas,restaurant_hotel,Pomaria_1_int,Beechwood_0_int,1,0,1,Johanna,0,
cook chorizo,restaurant_asian,Wainscott_0_garden,Beechwood_0_int,1,0,1,Johanna,0,
cook clams,restaurant_urban,restaurant_hotel,restaurant_asian,1,0,1,Johanna,0,
cook corn,Rs_int,Beechwood_0_garden,house_double_floor_lower,1,0,1,Johanna,0,
cook eggplant,restaurant_asian,Rs_garden,Wainscott_0_int,1,0,1,Johanna,0,
cook eggs,restaurant_urban,restaurant_hotel,restaurant_asian,1,0,1,Johanna,0,
cook fish,restaurant_hotel,Ihlen_1_int,Rs_garden,1,0,1,Johanna,0,
cook green beans,restaurant_asian,Benevolence_1_int,Beechwood_0_int,1,0,1,Johanna,0,
cook ground beef,Ihlen_1_int,restaurant_urban,restaurant_hotel,1,0,1,Johanna,0,
cook ham hocks,Ihlen_1_int,house_double_floor_lower,Wainscott_0_garden,1,0,1,Johanna,0,
cook hot dogs,restaurant_urban,restaurant_brunch,restaurant_hotel,1,0,1,Johanna,0,
cook kabobs,restaurant_asian,restaurant_hotel,restaurant_urban,1,0,1,Johanna,0,
cook kale,restaurant_hotel,restaurant_urban,house_single_floor,1,0,1,Johanna,0,
cook kielbasa,restaurant_asian,Wainscott_0_garden,Beechwood_0_int,1,0,1,Johanna,0,
cook lamb,restaurant_asian,restaurant_urban,house_single_floor,1,0,1,Johanna,0,
cook lasagne,Rs_garden,Rs_int,Wainscott_0_garden,1,0,1,Johanna,0,
cook mushrooms,restaurant_hotel,restaurant_urban,house_single_floor,1,0,1,Johanna,0,
cook mussels,restaurant_urban,restaurant_hotel,restaurant_asian,1,0,1,Deidra,0,
cook mustard greens,Rs_garden,Beechwood_0_int,house_double_floor_lower,1,0,1,Deidra,0,
cook noodles,restaurant_asian,restaurant_hotel,restaurant_urban,1,0,1,Deidra,0,
cook onions,Rs_garden,Wainscott_0_garden,restaurant_asian,1,0,1,Deidra,0,
cook oxtails,restaurant_urban,restaurant_hotel,restaurant_asian,1,0,1,Deidra,0,
cook oysters,restaurant_urban,restaurant_hotel,restaurant_asian,1,0,1,Deidra,0,
cook pasta,restaurant_brunch,house_double_floor_lower,Beechwood_0_garden,1,0,1,Deidra,0,
cook peas,Beechwood_0_int,restaurant_urban,Rs_garden,1,0,1,Deidra,0,
cook peppers,restaurant_urban,restaurant_hotel,restaurant_asian,1,0,1,Deidra,0,
cook pork ribs,restaurant_urban,restaurant_hotel,restaurant_asian,1,0,1,Deidra,0,
cook potatoes,restaurant_brunch,Pomaria_1_int,Beechwood_0_int,1,0,1,Deidra,0,
cook pumpkin seeds,house_double_floor_lower,restaurant_brunch,restaurant_urban,1,0,1,Deidra,0,
cook quail,restaurant_asian,restaurant_hotel,restaurant_urban,1,0,1,Deidra,0,
cook ramen noodles,house_double_floor_lower,restaurant_asian,,1,0,1,Deidra,0,
cook red peppers,restaurant_urban,restaurant_hotel,restaurant_asian,1,0,1,Deidra,0,
cook rice,restaurant_asian,Merom_1_int,house_single_floor,1,0,1,Malik,0,
cook sausages,Wainscott_0_int,restaurant_cafeteria,house_double_floor_lower,1,0,1,Malik,0,
cook seafood paella,house_double_floor_lower,restaurant_cafeteria,Wainscott_0_garden,1,0,1,Malik,0,
cook shrimp,house_single_floor,restaurant_asian,restaurant_cafeteria,1,0,1,Malik,0,
cook simple ginger and garlic prawns,house_single_floor,restaurant_asian,restaurant_cafeteria,1,0,1,Malik,0,
cook snap peas,restaurant_cafeteria,Wainscott_0_garden,house_double_floor_lower,1,0,1,Malik,0,
cook spinach,restaurant_cafeteria,Wainscott_0_garden,house_single_floor,1,0,1,Malik,0,
cook squash,house_double_floor_lower,restaurant_cafeteria,Wainscott_0_int,1,0,1,Malik,0,
cook squid,house_single_floor,restaurant_asian,restaurant_brunch,1,0,1,Malik,0,
cook sweet potatoes,restaurant_asian,Rs_int,Benevolence_1_int,1,0,1,Malik,0,
cook tofu,house_single_floor,restaurant_asian,restaurant_brunch,1,0,1,Malik,0,
cook turkey drumsticks,restaurant_hotel,Wainscott_0_int,Beechwood_0_int,1,0,1,Malik,0,
cook vegetables,house_double_floor_lower,restaurant_cafeteria,Wainscott_0_int,1,0,1,Malik,0,
cook zucchini,house_double_floor_lower,restaurant_cafeteria,Wainscott_0_int,1,0,1,Malik,0,
cooking a feast,restaurant_cafeteria,Wainscott_0_garden,house_single_floor,1,0,1,Malik,0,
cooking breakfast,restaurant_brunch,Beechwood_0_garden,Rs_garden,1,0,1,Elizabeth,0,
cooking dinner,restaurant_hotel,restaurant_asian,Wainscott_0_int,1,0,1,Elizabeth,0,
cooking food for adult,restaurant_hotel,restaurant_asian,Wainscott_0_int,1,0,1,Elizabeth,0,
cooking lunch,restaurant_brunch,restaurant_cafeteria,Merom_1_int,1,0,1,Elizabeth,0,
cool cakes,restaurant_cafeteria,Beechwood_0_garden,Rs_garden,1,0,1,Elizabeth,0,
cover a flower pot in fabric,Beechwood_0_garden,house_double_floor_lower,Rs_garden,1,0,1,Elizabeth,0,
covering boat,Wainscott_0_garden,house_double_floor_lower,Merom_0_garden,1,0,1,Elizabeth,0,
de-clutter your garage,Ihlen_0_int,house_double_floor_lower,,1,0,1,Kristin,0,
de-ice a car,Beechwood_0_garden,house_double_floor_lower,Merom_0_garden,1,0,1,Deidra,0,
decorating for religious ceremony,Merom_0_garden,Wainscott_1_int,Merom_0_int,1,0,1,Deidra,0,
decorating outside for holidays,Wainscott_0_garden,Merom_0_garden,Beechwood_0_garden,1,0,1,Deidra,0,
decorating outside for parties,house_double_floor_lower,Pomaria_0_garden,Beechwood_0_garden,1,0,1,Deidra,0,
defrost meat,grocery_store_asian,grocery_store_cafe,grocery_store_convenience,1,0,1,Deidra,0,
delivering groceries to doorstep,office_large,office_cubicles_right,office_large,1,0,1,Deidra,0,
disinfect laundry,house_single_floor,Wainscott_1_int,Pomaria_1_int,1,0,1,Kristin,0,
disinfect nail clippers,Pomaria_0_int,grocery_store_cafe,Pomaria_0_garden,1,0,1,Deidra,0,
dispose of a pizza box,house_single_floor,restaurant_hotel,Rs_int,1,0,1,Kristin,0,
dispose of batteries,Pomaria_0_garden,school_geography,school_computer_lab_and_infirmary,1,0,1,Deidra,0,
dispose of fireworks,Pomaria_0_int,Merom_1_int,Merom_0_garden,1,0,1,Deidra,0,
dispose of glass,office_vendor_machine,school_gym,restaurant_diner,1,0,1,Deidra,0,
dispose of medication,Rs_int,school_chemistry,Pomaria_0_int,1,0,1,Deidra,0,
dispose of paper,Beechwood_0_garden,Pomaria_1_int,house_single_floor,1,0,1,Deidra,0,
disposing of lawn clippings,Merom_0_garden,Pomaria_0_garden,Rs_garden,1,0,1,Kristin,0,
disposing of trash for adult,house_double_floor_lower,house_single_floor,,1,0,1,Kristin,0,
distributing event T-shirts,Benevolence_2_int,Benevolence_1_int,Merom_1_int,1,0,1,Deidra,0,
distributing groceries at food bank,grocery_store_asian,grocery_store_convenience,grocery_store_half_stocked,1,0,1,Deidra,0,
doing housework for adult,Beechwood_0_garden,house_double_floor_lower,house_single_floor,1,0,1,Kristin,0,
doing laundry,Benevolence_2_int,Merom_0_int,Beechwood_0_int,1,0,1,Kristin,0,
donating clothing,Beechwood_1_int,house_single_floor,,1,0,1,Deidra,0,
donating toys,Benevolence_1_int,Ihlen_0_int,Merom_0_garden,1,0,1,Malik,0,
drape window scarves,Pomaria_0_int,house_double_floor_upper,Benevolence_2_int,1,0,1,Malik,0,
drying dishes,Beechwood_0_garden,Benevolence_1_int,restaurant_hotel,1,0,1,Tess,0,
drying table,Beechwood_0_garden,Beechwood_0_int,Merom_1_int,1,0,1,Malik,0,
dust houseplants,house_double_floor_lower,Wainscott_0_garden,house_single_floor,1,0,1,Malik,0,
dusting rugs,Wainscott_1_int,Wainscott_0_int,Wainscott_0_garden,1,0,1,Tess,0,
emptying ashtray,restaurant_urban,Benevolence_1_int,Wainscott_0_int,1,0,1,Malik,0,
emptying trash cans,Pomaria_0_int,office_large,Beechwood_0_garden,1,0,1,Tess,#REF!,
fertilize a lawn,Pomaria_0_garden,Wainscott_0_garden,Beechwood_0_garden,1,0,1,Malik,0,
fertilize plants,house_single_floor,house_double_floor_lower,Merom_0_garden,1,0,1,Malik,0,
fertilizing garden,house_single_floor,Merom_0_garden,Pomaria_0_garden,1,0,1,Malik,0,
fill a bucket in a small sink,Wainscott_1_int,Beechwood_0_int,Beechwood_0_garden,1,0,1,Malik,0,
fill a canteen,Wainscott_0_int,Beechwood_0_garden,house_double_floor_lower,1,0,1,Malik,0,
fill a hot water bottle,Wainscott_0_garden,Wainscott_0_int,Rs_int,1,0,1,Malik,0,
fill a punching bag,Ihlen_0_int,house_double_floor_lower,,1,0,1,Malik,0,
filling pepper,Wainscott_0_int,Beechwood_0_int,Pomaria_1_int,1,0,1,Malik,0,
filling salt,house_single_floor,Pomaria_1_int,Ihlen_1_int,1,0,1,Malik,0,
filling sugar,restaurant_hotel,Rs_garden,Beechwood_0_int,1,0,1,Malik,0,
filling the bird feeder,Rs_garden,house_single_floor,Merom_0_garden,1,0,1,Malik,0,
fixing broken chair,Ihlen_0_int,house_double_floor_lower,,1,0,1,Johanna,0,
fixing broken table,Ihlen_0_int,house_double_floor_lower,,1,0,1,Johanna,0,
fixing mailbox,house_double_floor_lower,Rs_garden,Merom_0_garden,1,0,1,Johanna,0,
fold a cloth napkin,Ihlen_1_int,restaurant_hotel,Wainscott_0_garden,1,0,1,Malik,0,
fold a plastic bag,Merom_0_garden,Beechwood_0_int,Pomaria_1_int,1,0,1,Malik,0,
fold a tortilla,restaurant_asian,restaurant_brunch,restaurant_urban,1,0,1,Malik,0,
fold bandanas,Beechwood_0_garden,house_single_floor,Merom_0_int,1,0,1,Malik,0,
fold towels,Beechwood_0_int,Merom_0_garden,Pomaria_1_int,1,0,1,Kristin,0,
folding clean laundry,Merom_1_int,Ihlen_1_int,Benevolence_2_int,1,0,1,Tess,0,
folding clothes,Wainscott_1_int,Rs_garden,Pomaria_2_int,1,0,1,Tess,0,
folding piece of cloth,Wainscott_1_int,Pomaria_1_int,Merom_0_int,1,0,1,Kristin,0,
folding sheets,Merom_1_int,Ihlen_1_int,house_double_floor_upper,1,0,1,Tess,0,
freeze cupcakes,Beechwood_0_int,Pomaria_1_int,Wainscott_0_garden,1,0,1,Kristin,0,
freeze fruit,Beechwood_0_int,Pomaria_1_int,Wainscott_0_garden,1,0,1,Kristin,0,
freeze lasagna,Beechwood_0_int,Pomaria_1_int,Wainscott_0_garden,1,0,1,Kristin,0,
freeze meat,restaurant_asian,Benevolence_1_int,restaurant_urban,1,0,1,Kristin,0,
freeze pies,restaurant_asian,Benevolence_1_int,restaurant_urban,1,0,1,Kristin,0,
freeze quiche,restaurant_asian,Benevolence_1_int,restaurant_urban,1,0,1,Kristin,0,
freeze soup,Beechwood_0_garden,house_single_floor,Wainscott_0_int,1,0,1,Kristin,0,
freeze vegetables,Beechwood_0_garden,house_single_floor,Wainscott_0_int,1,0,1,Kristin,0,
freezing meat,Beechwood_0_garden,house_single_floor,Wainscott_0_int,1,0,1,Kristin,0,
fry pot stickers,Benevolence_1_int,restaurant_hotel,restaurant_asian,1,0,1,Kristin,0,
gathering nuts,Beechwood_0_garden,house_double_floor_lower,Pomaria_0_garden,1,0,1,Kristin,0,
getting a drink,Beechwood_0_garden,restaurant_urban,restaurant_hotel,1,0,1,Kristin,0,
getting organized for work,office_large,office_bike,office_cubicles_left,1,0,1,Kristin,0,
getting package from post office,office_large,,,1,0,1,Kristin,0,
glaze a ham,restaurant_hotel,house_double_floor_lower,Ihlen_1_int,1,0,1,Kristin,0,
grease and flour a pan,Merom_1_int,house_single_floor,Benevolence_1_int,1,0,1,Kristin,0,
grill burgers,Merom_0_garden,house_double_floor_lower,Rs_garden,1,0,1,Kristin,0,
grill vegetables,Rs_garden,restaurant_asian,restaurant_brunch,1,0,1,Kristin,0,
halve an egg,Pomaria_1_int,Rs_garden,Wainscott_0_int,1,0,1,Areeba,0,
hand washing clothing,Wainscott_1_int,Pomaria_1_int,,1,0,1,Deidra,0,
hang a bike on the wall,Ihlen_0_int,house_double_floor_lower,,1,0,1,Deidra,0,
hang a dartboard,Wainscott_0_int,Rs_garden,Beechwood_0_int,1,0,1,Deidra,0,
hang a hammock indoors,house_single_floor,Benevolence_2_int,Merom_1_int,1,0,1,Deidra,0,
hang a rug on a wall,Wainscott_0_garden,Ihlen_1_int,Rs_int,1,0,1,Deidra,0,
hang icicle lights,house_double_floor_lower,Merom_0_garden,house_single_floor,1,0,1,Deidra,0,
hang paper lanterns,Beechwood_0_garden,Merom_0_garden,house_double_floor_lower,1,0,1,Deidra,0,
hanging address numbers,Beechwood_0_int,house_single_floor,Rs_int,1,0,1,Deidra,0,
hanging blinds,Beechwood_0_garden,Benevolence_1_int,house_single_floor,1,0,1,Deidra,0,
hanging clothes,Beechwood_1_int,house_single_floor,,1,0,1,Deidra,0,
hanging clothes on clothesline,Merom_0_garden,house_single_floor,Beechwood_0_garden,1,0,1,Deidra,0,
hanging flags,Rs_garden,house_double_floor_lower,house_single_floor,1,0,1,Deidra,0,
hanging outdoor lights,Pomaria_0_garden,Wainscott_0_garden,Merom_0_garden,1,0,1,Deidra,0,
hanging pictures,Beechwood_0_int,Benevolence_0_int,office_large,1,0,1,Deidra,0,
hanging shades,Wainscott_1_int,Wainscott_0_int,Pomaria_0_int,1,0,1,Deidra,0,
hanging up bedsheets,Wainscott_0_garden,Pomaria_0_garden,Merom_0_garden,1,0,1,Adriel,0,
hanging up curtains,Ihlen_1_int,house_double_floor_upper,hotel_suite_large,1,0,1,Adriel,0,
hanging up wind chimes,Merom_0_garden,Beechwood_0_garden,Pomaria_0_garden,1,0,1,Adriel,0,
hard boil an egg,Merom_1_int,Wainscott_0_int,house_single_floor,1,0,1,Adriel,0,
haul a motorcycle,house_double_floor_lower,Merom_0_garden,Pomaria_0_garden,1,0,1,Adriel,0,
heating food up,Benevolence_1_int,Beechwood_0_int,Pomaria_1_int,1,0,1,Adriel,0,
heating soup,Rs_int,Wainscott_0_int,Beechwood_0_int,1,0,1,Adriel,0,
hiding Easter eggs,Rs_garden,house_double_floor_lower,Pomaria_0_garden,1,0,1,Adriel,0,
hoe weeds,Wainscott_0_garden,Rs_garden,Merom_0_garden,1,0,1,Tess,0,
hooking up trailer to car,Merom_0_garden,house_double_floor_lower,Rs_garden,1,0,1,Adriel,0,
ice cookies,Ihlen_1_int,house_single_floor,Benevolence_1_int,1,0,1,Adriel,0,
installing a fence,house_double_floor_lower,house_single_floor,Merom_0_garden,1,0,1,Adriel,0,
installing a trailer hitch,house_double_floor_lower,Ihlen_0_int,,1,0,1,Adriel,0,
installing appliances,Merom_0_int,Merom_0_garden,Ihlen_0_int,1,0,1,Adriel,0,
installing carpet,Rs_int,Merom_0_int,Ihlen_1_int,1,0,1,Tess,0,
installing smoke detectors,restaurant_diner,restaurant_brunch,house_single_floor,1,0,1,Adriel,0,
iron a tie,Beechwood_0_int,Merom_0_garden,Wainscott_1_int,1,0,1,Areeba,0,
iron curtains,house_single_floor,Merom_0_garden,Wainscott_1_int,1,0,1,Adriel,0,
ironing bedsheets,Pomaria_0_garden,Wainscott_1_int,Wainscott_0_int,1,0,1,Adriel,0,
ironing clothes,house_single_floor,hotel_suite_small,hotel_suite_large,1,0,1,Tess,0,
ironing curtains,house_single_floor,house_single_floor,hall_train_station,1,0,1,Adriel,0,
lay sod,Rs_garden,house_double_floor_lower,Merom_0_garden,1,0,1,Adriel,0,
laying clothes out,hall_train_station,house_single_floor,Benevolence_0_int,1,0,1,Adriel,0,
laying out a feast,restaurant_urban,Ihlen_1_int,Benevolence_1_int,1,0,1,Adriel,0,
laying out snacks at work,office_vendor_machine,office_cubicles_left,,1,0,1,Adriel,0,
laying paving stones,Wainscott_0_garden,house_double_floor_lower,Beechwood_0_garden,1,0,1,Areeba,0,
laying restaurant table for dinner,restaurant_cafeteria,restaurant_asian,restaurant_brunch,1,0,1,Areeba,0,
lighting fireplace,house_single_floor,,,1,0,1,Areeba,0,
line kitchen shelves,Beechwood_0_garden,Beechwood_0_int,house_single_floor,1,0,1,Areeba,0,
loading shopping into car,house_double_floor_lower,Wainscott_0_garden,Pomaria_0_garden,1,0,1,Areeba,0,
loading the car,house_double_floor_lower,Wainscott_0_garden,Pomaria_0_garden,1,0,1,Areeba,0,
lube a bicycle chain,Beechwood_0_garden,Wainscott_1_int,Merom_0_garden,1,0,1,Areeba,0,
mailing letters,office_cubicles_left,office_vendor_machine,,1,0,1,Areeba,0,
make a bake sale stand stall,Pomaria_1_int,Rs_garden,house_double_floor_lower,1,0,1,Johanna,0,
make a basic brine,Wainscott_0_garden,Wainscott_0_int,,1,0,1,Johanna,#REF!,
make a blended iced cappuccino,Wainscott_0_garden,Wainscott_0_int,,1,0,1,Johanna,0,
make a candy centerpiece,Beechwood_0_int,restaurant_hotel,Beechwood_0_garden,1,0,1,Johanna,0,
make a cappuccino,Wainscott_0_garden,Wainscott_0_int,,1,0,1,Johanna,0,
make a car emergency kit,Ihlen_0_int,house_double_floor_lower,,1,0,1,Johanna,0,
make a cheese pastry,Wainscott_0_garden,Wainscott_0_int,,1,0,1,Johanna,0,
make a chia breakfast bowl,Wainscott_0_garden,Wainscott_0_int,,1,0,1,Johanna,0,
make a christmas gift box,hall_train_station,house_single_floor,Benevolence_0_int,1,0,1,Johanna,0,
make a clothes line,Beechwood_0_int,house_single_floor,Beechwood_0_garden,1,0,1,Johanna,0,
make a frappe,Wainscott_0_garden,Wainscott_0_int,,1,0,1,Johanna,0,
make a good turkey burger,Wainscott_0_garden,Wainscott_0_int,,1,0,1,Johanna,0,
make a louisiana seafood boil,Wainscott_0_garden,Wainscott_0_int,,1,0,1,Johanna,0,
make a lunch box,Wainscott_0_garden,Wainscott_0_int,,1,0,1,Johanna,0,
make a military care package,Wainscott_0_garden,Rs_int,Beechwood_0_int,1,0,1,Johanna,0,
make a milkshake,Wainscott_0_garden,Wainscott_0_int,,1,0,1,Johanna,0,
make a mojito,Wainscott_0_garden,Wainscott_0_int,,1,0,1,Johanna,0,
make a red meat sauce,Wainscott_0_garden,Wainscott_0_int,,1,0,1,Johanna,0,
make a salad,Wainscott_0_garden,Wainscott_0_int,,1,0,1,Johanna,0,
make a sandwich,Wainscott_0_garden,Wainscott_0_int,,1,0,1,Johanna,0,
make a small vegetable garden,Beechwood_0_garden,Merom_0_garden,Wainscott_0_garden,1,0,1,Areeba,0,
make a steak,Wainscott_0_garden,Wainscott_0_int,,1,0,1,Johanna,0,
make a strawberry slushie,Wainscott_0_garden,Wainscott_0_int,,1,0,1,Kristin,0,
make a sugar and coffee scrub,Wainscott_0_garden,Wainscott_0_int,,1,0,1,Johanna,0,
make a tropical breakfast,Wainscott_0_garden,Wainscott_0_int,,1,0,1,Johanna,0,
make a vinegar cleaning solution,Wainscott_0_garden,Wainscott_0_int,,1,0,1,Kristin,0,
make a wiener schnitzle,Wainscott_0_garden,Wainscott_0_int,,1,0,1,Johanna,0,
make an afternoon tea with strawberries,Wainscott_0_garden,Wainscott_0_int,,1,1,1,Johanna,0,
make an egg tomato and toast breakfast,Wainscott_0_garden,Wainscott_0_int,,1,0,1,Areeba,0,
make an iced espresso,Wainscott_0_garden,Wainscott_0_int,,1,0,1,Kristin,0,
make applesauce,Wainscott_0_garden,Wainscott_0_int,,1,0,1,Kristin,0,
make bagels,Wainscott_0_garden,Wainscott_0_int,,1,0,1,Kristin,0,
make baked pears,Wainscott_0_garden,Wainscott_0_int,,1,0,1,Adriel,0,
make batter,Wainscott_0_garden,Wainscott_0_int,,1,0,1,Kristin,0,
make beef and broccoli,Wainscott_0_garden,Wainscott_0_int,,1,0,1,Areeba,0,
make bento,Wainscott_0_garden,Wainscott_0_int,,1,0,1,Areeba,0,
make biscuits,Wainscott_0_garden,Wainscott_0_int,,1,0,1,Kristin,0,
make blueberry mousse,Wainscott_0_garden,Wainscott_0_int,,1,0,1,Kristin,0,
make brownies,Wainscott_0_garden,Wainscott_0_int,,1,0,1,Kristin,0,
make burrito bowls,Wainscott_0_garden,Wainscott_0_int,,1,0,1,Areeba,0,
make cabinet doors,Beechwood_0_garden,Rs_int,Rs_garden,1,1,1,Abdullah,0,
make cake filling,Wainscott_0_garden,Wainscott_0_int,,1,0,1,Kristin,0,
make cake mix,Wainscott_0_garden,Wainscott_0_int,,1,0,1,Kristin,0,
make carne asada,Wainscott_0_garden,Wainscott_0_int,,1,0,1,Adriel,0,
make chicken and waffles,Wainscott_0_garden,Wainscott_0_int,,1,0,1,Adriel,0,
make chicken curry,Wainscott_0_garden,Wainscott_0_int,,1,0,1,Elizabeth,0,
make chicken fajitas,Wainscott_0_garden,Wainscott_0_int,,1,0,1,Adriel,0,
make chocolate biscuits,Wainscott_0_garden,Wainscott_0_int,,1,0,1,Elizabeth,0,
