"Task Name","Synsets","Matched Scenes","Predicates","Required Features"
"cleaning_boat-0","boat.n.01,                         bucket.n.01,                         detergent.n.02,                         detergent__bottle.n.01,                         driveway.n.01,                         floor.n.01,                         lawn.n.01,                         liquid_soap.n.01,                         liquid_soap__bottle.n.01,                         stain.n.01,                         swab.n.02,                         water.n.06,","Beechwood_0_garden,                                                                                                                                                                                                                            Merom_0_garden,                                                                                                    Pomaria_0_garden,                                                                                                                            Rs_garden,                                                                            Wainscott_0_garden,                                                                                                                                                                                                                                                                                                                                                                                                    house_double_floor_lower,                                                                            house_single_floor,","ontop,                         filled,                         covered,","transition,            visual substance,            physical substance,            attachment,            cloth,"
"cleaning_camper_or_RV-0","bucket.n.01,                         detergent.n.02,                         detergent__bottle.n.01,                         dust.n.01,                         floor.n.01,                         liquid_soap.n.01,                         liquid_soap__bottle.n.01,                         mud.n.03,                         rag.n.01,                         recreational_vehicle.n.01,                         sink.n.01,                         sponge.n.01,                         water.n.06,","Beechwood_0_garden,                                                                                                                                                                                                                            Merom_0_garden,                                                                                                    Pomaria_0_garden,                                                                                                                            Rs_garden,                                                                            Wainscott_0_garden,                                                                                                                                                                                                                                                                                                                                                                                                    house_double_floor_lower,                                                                            house_single_floor,","ontop,                         filled,                         covered,                         insource,","transition,            visual substance,            physical substance,            attachment,            cloth,"
"cleaning_carpets-0","cabinet.n.01,                         detergent.n.02,                         detergent__bottle.n.01,                         door.n.01,                         floor.n.01,                         hand_towel.n.01,                         sink.n.01,                         stain.n.01,","Beechwood_0_garden,                                                    Beechwood_0_int,                                                                                                                                                                                                                                                                                                                            Pomaria_1_int,                                                                                                                                                                            Wainscott_1_int,                                                                                                                                                                                                                                                                                                                                                                                                    house_single_floor,","ontop,                         inside,                         filled,                         covered,","transition,            visual substance,            physical substance,            attachment,            cloth,"
"cleaning_computer-0","desk.n.01,                         desktop_computer.n.01,                         dust.n.01,                         floor.n.01,                         rag.n.01,","gates_bedroom,                                                                                                                                                                                                                                                                            hotel_suite_large,                                                    hotel_suite_small,                                                                            house_double_floor_upper,","ontop,                         covered,","transition,            visual substance,            physical substance,            attachment,            cloth,"
"cleaning_cups_in_living_room-0","dust.n.01,                         floor.n.01,                         rag.n.01,                         red_wine.n.01,                         table.n.02,                         white_wine.n.01,                         wineglass.n.01,","Beechwood_0_garden,                                                    Beechwood_0_int,                                                                                                                                                    Ihlen_0_int,                                                    Ihlen_1_int,                                                    Merom_0_garden,                                                    Merom_0_int,                                                    Merom_1_int,                                                                                                    Pomaria_1_int,                                                                            Rs_garden,                                                    Rs_int,                                                    Wainscott_0_garden,                                                    Wainscott_0_int,                                                                                                                                                                                                                                                                                                                                                                            house_double_floor_lower,                                                                            house_single_floor,","ontop,                         covered,","transition,            visual substance,            physical substance,            attachment,            cloth,"
"cleaning_debris_out_of_car-0","bag__of__chips.n.01,                         car.n.01,                         cup__of__yogurt.n.01,                         driveway.n.01,                         floor.n.01,                         vacuum.n.04,","Beechwood_0_garden,                                                                                                                                                                                                                            Merom_0_garden,                                                                                                    Pomaria_0_garden,                                                                                                                            Rs_garden,                                                                            Wainscott_0_garden,                                                                                                                                                                                                                                                                                                                                                                                                    house_double_floor_lower,                                                                            house_single_floor,","ontop,                         inside,","transition,            visual substance,            physical substance,            attachment,            cloth,"
"cleaning_driveway-0","broom.n.01,                         bunchgrass.n.01,                         driveway.n.01,                         dust.n.01,                         floor.n.01,","Beechwood_0_garden,                                                                                                                                                                                                                            Merom_0_garden,                                                                                                    Pomaria_0_garden,                                                                                                                            Rs_garden,                                                                            Wainscott_0_garden,                                                                                                                                                                                                                                                                                                                                                                                                    house_double_floor_lower,                                                                            house_single_floor,","ontop,                         covered,","transition,            visual substance,            physical substance,            attachment,            cloth,"
"cleaning_fan-0","dust.n.01,                         electric_fan.n.01,                         floor.n.01,                         liquid_soap.n.01,                         liquid_soap__bottle.n.01,                         mold.n.05,                         rag.n.01,                         scrub_brush.n.01,                         sink.n.01,                         water.n.06,","Beechwood_0_garden,                                                    Beechwood_0_int,                                                    Beechwood_1_int,                                                    Benevolence_0_int,                                                                            Benevolence_2_int,                                                    Ihlen_0_int,                                                    Ihlen_1_int,                                                    Merom_0_garden,                                                    Merom_0_int,                                                    Merom_1_int,                                                    Pomaria_0_garden,                                                    Pomaria_0_int,                                                    Pomaria_1_int,                                                    Pomaria_2_int,                                                    Rs_garden,                                                    Rs_int,                                                    Wainscott_0_garden,                                                    Wainscott_0_int,                                                    Wainscott_1_int,                                                                            grocery_store_asian,                                                    grocery_store_cafe,                                                    grocery_store_convenience,                                                    grocery_store_half_stocked,                                                    hall_arch_wood,                                                    hall_conference_large,                                                    hall_glass_ceiling,                                                    hall_train_station,                                                    hotel_gym_spa,                                                    hotel_suite_large,                                                    hotel_suite_small,                                                    house_double_floor_lower,                                                    house_double_floor_upper,                                                    house_single_floor,                                                                            office_cubicles_left,                                                    office_cubicles_right,                                                    office_large,                                                    office_vendor_machine,                                                    restaurant_asian,                                                    restaurant_brunch,                                                    restaurant_cafeteria,                                                    restaurant_diner,                                                    restaurant_hotel,                                                    restaurant_urban,                                                    school_biology,                                                    school_chemistry,                                                    school_computer_lab_and_infirmary,                                                    school_geography,                                                    school_gym,","ontop,                         filled,                         covered,                         insource,","transition,            visual substance,            physical substance,            attachment,            cloth,"
"cleaning_fishing_gear-0","bucket.n.01,                         fishing_rod.n.01,                         floor.n.01,                         liquid_soap.n.01,                         liquid_soap__bottle.n.01,                         rag.n.01,                         stain.n.01,                         steel_wool.n.01,                         water.n.06,","Beechwood_0_garden,                                                                                                                                                                                                                            Merom_0_garden,                                                                                                    Pomaria_0_garden,                                                                                                                            Rs_garden,                                                                            Wainscott_0_garden,                                                                                                                                                                                                                                                                                                                                                                                                    house_double_floor_lower,                                                                            house_single_floor,","ontop,                         filled,                         covered,","transition,            visual substance,            physical substance,            attachment,            cloth,"
"cleaning_floors-0","broom.n.01,                         detergent.n.02,                         detergent__bottle.n.01,                         door.n.01,                         dust.n.01,                         dustpan.n.02,                         floor.n.01,                         scrub_brush.n.01,                         sink.n.01,                         stain.n.01,","Beechwood_0_garden,                                                    Beechwood_0_int,                                                    Beechwood_1_int,                                                    Benevolence_0_int,                                                                            Benevolence_2_int,                                                    Ihlen_0_int,                                                    Ihlen_1_int,                                                    Merom_0_garden,                                                    Merom_0_int,                                                    Merom_1_int,                                                    Pomaria_0_garden,                                                    Pomaria_0_int,                                                    Pomaria_1_int,                                                    Pomaria_2_int,                                                    Rs_garden,                                                    Rs_int,                                                    Wainscott_0_garden,                                                    Wainscott_0_int,                                                    Wainscott_1_int,                                                                            grocery_store_asian,                                                    grocery_store_cafe,                                                    grocery_store_convenience,                                                    grocery_store_half_stocked,                                                    hall_arch_wood,                                                    hall_conference_large,                                                    hall_glass_ceiling,                                                    hall_train_station,                                                    hotel_gym_spa,                                                    hotel_suite_large,                                                    hotel_suite_small,                                                    house_double_floor_lower,                                                    house_double_floor_upper,                                                    house_single_floor,                                                                            office_cubicles_left,                                                    office_cubicles_right,                                                    office_large,                                                    office_vendor_machine,                                                    restaurant_asian,                                                    restaurant_brunch,                                                    restaurant_cafeteria,                                                    restaurant_diner,                                                    restaurant_hotel,                                                    restaurant_urban,                                                    school_biology,                                                    school_chemistry,                                                    school_computer_lab_and_infirmary,                                                    school_geography,                                                    school_gym,","ontop,                         filled,                         covered,","transition,            visual substance,            physical substance,            attachment,            cloth,"
"cleaning_freezer-0","detergent.n.02,                         detergent__bottle.n.01,                         electric_refrigerator.n.01,                         floor.n.01,                         prawn.n.01,                         sink.n.01,                         stain.n.01,                         table.n.02,                         towel.n.01,","Beechwood_0_garden,                                                    Beechwood_0_int,                                                                                                                                                                                                                                                                                                                            Pomaria_1_int,                                                                                                                            Wainscott_0_garden,                                                    Wainscott_0_int,                                                                                                                                                                                                                                                                                                                                                                                                                            house_single_floor,","filled,                         ontop,                         inside,                         covered,","transition,            visual substance,            physical substance,            attachment,            cloth,"
"cleaning_garage-0","bottle.n.01,                         broom.n.01,                         cabinet.n.01,                         dust.n.01,                         floor.n.01,                         newspaper.n.03,                         rag.n.01,                         recycling_bin.n.01,                         shelf.n.01,                         sink.n.01,                         stain.n.01,                         table.n.02,","Ihlen_0_int,","ontop,                         inside,                         covered,","transition,            visual substance,            physical substance,            attachment,            cloth,"
"cleaning_garden_path-0","ashcan.n.01,                         broom.n.01,                         driveway.n.01,                         dust.n.01,                         floor.n.01,                         paper.n.01,                         plastic_bag.n.01,","Beechwood_0_garden,                                                                                                                                                                                                                            Merom_0_garden,                                                                                                    Pomaria_0_garden,                                                                                                                            Rs_garden,                                                                            Wainscott_0_garden,                                                                                                                                                                                                                                                                                                                                                                                                    house_double_floor_lower,                                                                            house_single_floor,","ontop,                         inside,                         covered,","transition,            visual substance,            physical substance,            attachment,            cloth,"
"cleaning_garden_tools-0","bunchgrass.n.01,                         dust.n.01,                         floor.n.01,                         glove.n.02,                         liquid_soap.n.01,                         liquid_soap__bottle.n.01,                         mud.n.03,                         packing_box.n.02,                         pot_plant.n.01,                         pruner.n.02,                         rail_fence.n.01,                         rake.n.03,                         scrub_brush.n.01,                         shovel.n.01,                         stain.n.01,                         steel_wool.n.01,                         trowel.n.01,                         water.n.06,                         watering_can.n.01,","Beechwood_0_garden,                                                                                                                                                                                                                            Merom_0_garden,                                                                                                    Pomaria_0_garden,                                                                                                                            Rs_garden,                                                                            Wainscott_0_garden,                                                                                                                                                                                                                                                                                                                                                                                                    house_double_floor_lower,                                                                            house_single_floor,","insource,                         filled,                         covered,                         ontop,                         nextto,                         inside,","transition,            visual substance,            physical substance,            attachment,            cloth,"
"cleaning_glasses_off_bar-0","bar.n.02,                         beer.n.01,                         beer_glass.n.01,                         floor.n.01,                         gin.n.01,                         orange_juice.n.01,                         red_wine.n.01,                         sink.n.01,                         stain.n.01,                         wineglass.n.01,","restaurant_urban,","ontop,                         nextto,                         inside,                         covered,","transition,            visual substance,            physical substance,            attachment,            cloth,"
"cleaning_high_chair-0","cabinet.n.01,                         dust.n.01,                         floor.n.01,                         hand_towel.n.01,                         highchair.n.01,","Beechwood_0_garden,                                                    Beechwood_0_int,                                                                                                    Benevolence_1_int,                                                                                                    Ihlen_1_int,                                                                                                    Merom_1_int,                                                                                                                                                                                                    Wainscott_0_garden,                                                    Wainscott_0_int,                                                                                                                                                                                                                                                                                                                                                                                                                            house_single_floor,                                                                                                                                                                            restaurant_asian,                                                    restaurant_brunch,                                                    restaurant_cafeteria,                                                    restaurant_diner,                                                    restaurant_hotel,                                                    restaurant_urban,","ontop,                         inside,                         covered,","transition,            visual substance,            physical substance,            attachment,            cloth,"
"cleaning_kitchen_cupboard-0","bowl.n.01,                         cabinet.n.01,                         countertop.n.01,                         cup.n.01,                         detergent.n.02,                         detergent__bottle.n.01,                         dust.n.01,                         floor.n.01,                         hand_towel.n.01,","Beechwood_0_garden,                                                    Beechwood_0_int,                                                                                                    Benevolence_1_int,                                                                                                    Ihlen_1_int,                                                                                                                                                                            Pomaria_1_int,                                                                            Rs_garden,                                                    Rs_int,                                                    Wainscott_0_garden,                                                    Wainscott_0_int,                                                                                                                                                                                                                                                                                                                                                                                                                            house_single_floor,                                                                                                                                                                            restaurant_asian,                                                    restaurant_brunch,                                                                            restaurant_diner,                                                    restaurant_hotel,                                                    restaurant_urban,","ontop,                         inside,                         filled,                         covered,","transition,            visual substance,            physical substance,            attachment,            cloth,"
"cleaning_kitchen_knives-0","barbecue_sauce.n.01,                         breadcrumb.n.01,                         carving_knife.n.01,                         countertop.n.01,                         floor.n.01,                         liquid_soap.n.01,                         liquid_soap__bottle.n.01,                         melted__butter.n.01,                         sink.n.01,                         sponge.n.01,                         table_knife.n.01,                         water.n.06,","Beechwood_0_garden,                                                    Beechwood_0_int,                                                                                                    Benevolence_1_int,                                                                                                    Ihlen_1_int,                                                                                                                                                                            Pomaria_1_int,                                                                            Rs_garden,                                                    Rs_int,                                                    Wainscott_0_garden,                                                    Wainscott_0_int,                                                                                                                                                                                                                                                                                                                                                                                                                            house_single_floor,                                                                                                                                                                            restaurant_asian,                                                    restaurant_brunch,                                                                            restaurant_diner,                                                    restaurant_hotel,                                                    restaurant_urban,","ontop,                         filled,                         covered,                         insource,","transition,            visual substance,            physical substance,            attachment,            cloth,"
"cleaning_lawnmowers-0","bunchgrass.n.01,                         dirt.n.02,                         floor.n.01,                         lawn_mower.n.01,                         rag.n.01,                         scrub_brush.n.01,                         water.n.06,                         watering_can.n.01,","Beechwood_0_garden,                                                                                                                                                                                                                            Merom_0_garden,                                                                                                    Pomaria_0_garden,                                                                                                                            Rs_garden,                                                                            Wainscott_0_garden,                                                                                                                                                                                                                                                                                                                                                                                                    house_double_floor_lower,                                                                            house_single_floor,","ontop,                         covered,                         insource,","transition,            visual substance,            physical substance,            attachment,            cloth,"
"cleaning_microwave_oven-0","ashcan.n.01,                         cabinet.n.01,                         countertop.n.01,                         dust.n.01,                         floor.n.01,                         microwave.n.02,                         rag.n.01,                         sink.n.01,                         stain.n.01,","Beechwood_0_garden,                                                    Beechwood_0_int,                                                                                                    Benevolence_1_int,                                                                                                                                                                                                                                                    Pomaria_1_int,                                                                            Rs_garden,                                                    Rs_int,                                                    Wainscott_0_garden,                                                    Wainscott_0_int,","ontop,                         covered,","transition,            visual substance,            physical substance,            attachment,            cloth,"
"cleaning_mushrooms-0","chopping_board.n.01,                         countertop.n.01,                         dust.n.01,                         floor.n.01,                         mixing_bowl.n.01,                         mushroom.n.05,                         paper_towel.n.01,                         water.n.06,","Beechwood_0_garden,                                                    Beechwood_0_int,                                                                                                    Benevolence_1_int,                                                                                                    Ihlen_1_int,                                                                                                                                                                            Pomaria_1_int,                                                                            Rs_garden,                                                    Rs_int,                                                    Wainscott_0_garden,                                                    Wainscott_0_int,                                                                                                                                                                                                                                                                                                                                                                                                                            house_single_floor,                                                                                                                                                                            restaurant_asian,                                                    restaurant_brunch,                                                    restaurant_cafeteria,                                                    restaurant_diner,                                                    restaurant_hotel,                                                    restaurant_urban,","ontop,                         filled,                         covered,","transition,            visual substance,            physical substance,            attachment,            cloth,"
"cleaning_out_drawers-0","bowl.n.01,                         cabinet.n.01,                         dinner_napkin.n.01,                         floor.n.01,                         sink.n.01,                         tablespoon.n.02,","Beechwood_0_garden,                                                    Beechwood_0_int,                                                                                                    Benevolence_1_int,                                                                                                    Ihlen_1_int,                                                                                                    Merom_1_int,                                                                                                    Pomaria_1_int,                                                                            Rs_garden,                                                    Rs_int,                                                    Wainscott_0_garden,                                                    Wainscott_0_int,                                                                                                                                                                                                                                                                                                                                                                            house_double_floor_lower,                                                                            house_single_floor,                                                                                                                                                                            restaurant_asian,                                                    restaurant_brunch,                                                                            restaurant_diner,                                                    restaurant_hotel,                                                    restaurant_urban,","ontop,                         nextto,                         inside,","transition,            visual substance,            physical substance,            attachment,            cloth,"
"cleaning_oven-0","bar_soap.n.01,                         cabinet.n.01,                         dustpan.n.02,                         floor.n.01,                         newspaper.n.03,                         oven.n.01,                         rag.n.01,                         scrub_brush.n.01,                         sink.n.01,                         stain.n.01,","Beechwood_0_garden,                                                    Beechwood_0_int,                                                                                                    Benevolence_1_int,                                                                                                    Ihlen_1_int,                                                                                                                                                                            Pomaria_1_int,                                                                            Rs_garden,                                                    Rs_int,                                                    Wainscott_0_garden,                                                    Wainscott_0_int,                                                                                                                                                                                                                                                                                                                                                                            house_double_floor_lower,                                                                            house_single_floor,                                                                                                                                                                            restaurant_asian,                                                    restaurant_brunch,                                                                            restaurant_diner,                                                    restaurant_hotel,                                                    restaurant_urban,","ontop,                         inside,                         covered,","transition,            visual substance,            physical substance,            attachment,            cloth,"
"cleaning_parks-0","floor.n.01,                         lawn.n.01,                         recycling_bin.n.01,                         water_bottle.n.01,","Beechwood_0_garden,                                                                                                                                                                                                                            Merom_0_garden,                                                                                                    Pomaria_0_garden,                                                                                                                            Rs_garden,                                                                            Wainscott_0_garden,                                                                                                                                                                                                                                                                                                                                                                                                    house_double_floor_lower,                                                                            house_single_floor,","ontop,                         inside,","transition,            visual substance,            physical substance,            attachment,            cloth,"
"cleaning_patio_furniture-0","bucket.n.01,                         coffee_table.n.01,                         dirt.n.02,                         floor.n.01,                         lawn_chair.n.01,                         liquid_soap.n.01,                         liquid_soap__bottle.n.01,                         mildew.n.02,                         rag.n.01,                         water.n.06,","Beechwood_0_garden,                                                                                                                                                                                                                            Merom_0_garden,                                                                                                    Pomaria_0_garden,                                                                                                                            Rs_garden,                                                                            Wainscott_0_garden,                                                                                                                                                                                                                                                                                                                                                                                                                                                    house_single_floor,","covered,                         ontop,                         filled,                         inside,","transition,            visual substance,            physical substance,            attachment,            cloth,"
