substance,synset,prune,hyperparam_source,hyperparams
cooked__diced__french_fries,cooked__diced__french_fries.n.01,0,manual,"{""type"": ""macro_physical_particle"", ""particle_density"": 241.0}"
cooked__diced__french_toast,cooked__diced__french_toast.n.01,0,manual,"{""type"": ""macro_physical_particle"", ""particle_density"": 325.0}"
cooked__diced__fruitcake,cooked__diced__fruitcake.n.01,0,manual,"{""type"": ""macro_physical_particle"", ""particle_density"": 1100.0}"
cooked__diced__garlic_bread,cooked__diced__garlic_bread.n.01,0,manual,"{""type"": ""macro_physical_particle"", ""particle_density"": 262.0}"
cooked__diced__gelatin,cooked__diced__gelatin.n.01,0,manual,"{""type"": ""macro_physical_particle"", ""particle_density"": 1141.0}"
cooked__diced__ginger,cooked__diced__ginger.n.01,0,manual,"{""type"": ""macro_physical_particle"", ""particle_density"": 406.0}"
cooked__diced__gingerbread,cooked__diced__gingerbread.n.01,0,manual,"{""type"": ""macro_physical_particle"", ""particle_density"": 1014.0}"
cooked__diced__gooseberry,cooked__diced__gooseberry.n.01,0,manual,"{""type"": ""macro_physical_particle"", ""particle_density"": 462.0}"
cooked__diced__gourd,cooked__diced__gourd.n.01,0,manual,"{""type"": ""macro_physical_particle"", ""particle_density"": 490.0}"
cooked__diced__granola_bar,cooked__diced__granola_bar.n.01,0,manual,"{""type"": ""macro_physical_particle"", ""particle_density"": 516.0}"
cooked__diced__grapefruit,cooked__diced__grapefruit.n.01,0,manual,"{""type"": ""macro_physical_particle"", ""particle_density"": 972.0}"
cooked__diced__green_bean,cooked__diced__green_bean.n.01,0,manual,"{""type"": ""macro_physical_particle"", ""particle_density"": 479.0}"
cooked__diced__green_onion,cooked__diced__green_onion.n.01,0,fromcooked,"{""type"": ""macro_physical_particle"", ""particle_density"": 423.0}"
cooked__diced__grouper,cooked__diced__grouper.n.01,1,manual,"{""type"": ""macro_physical_particle"", ""particle_density"": 1038.0}"
cooked__diced__halibut,cooked__diced__halibut.n.01,1,manual,"{""type"": ""macro_physical_particle"", ""particle_density"": 1038.0}"
cooked__diced__ham_hock,cooked__diced__ham_hock.n.01,0,manual,"{""type"": ""macro_physical_particle"", ""particle_density"": 592.0}"
cooked__diced__hamburger,cooked__diced__hamburger.n.01,0,manual,"{""type"": ""macro_physical_particle"", ""particle_density"": 955.0}"
cooked__diced__hamburger_bun,cooked__diced__hamburger_bun.n.01,0,manual,"{""type"": ""macro_physical_particle"", ""particle_density"": 300.0}"
cooked__diced__hard_boiled_egg,cooked__diced__hard-boiled_egg.n.01,0,manual,"{""type"": ""macro_physical_particle"", ""particle_density"": 1027.0}"
cooked__diced__hazelnut,cooked__diced__hazelnut.n.01,0,manual,"{""type"": ""macro_physical_particle"", ""particle_density"": 486.0}"
cooked__diced__head_cabbage,cooked__diced__head_cabbage.n.01,0,fromcooked,"{""type"": ""macro_physical_particle"", ""particle_density"": 376.0}"
cooked__diced__hip,cooked__diced__hip.n.01,0,manual,"{""type"": ""macro_physical_particle"", ""particle_density"": 1037.0}"
cooked__diced__hotdog,cooked__diced__hotdog.n.01,0,manual,"{""type"": ""macro_physical_particle"", ""particle_density"": 1015.0}"
cooked__diced__huitre,cooked__diced__huitre.n.01,0,manual,"{""type"": ""macro_physical_particle"", ""particle_density"": 849.0}"
cooked__diced__kabob,cooked__diced__kabob.n.01,0,manual,"{""type"": ""macro_physical_particle"", ""particle_density"": 651.0}"
cooked__diced__kale,cooked__diced__kale.n.01,0,manual,"{""type"": ""macro_physical_particle"", ""particle_density"": 89.0}"
cooked__diced__kielbasa,cooked__diced__kielbasa.n.01,0,manual,"{""type"": ""macro_physical_particle"", ""particle_density"": 782.0}"
cooked__diced__kiwi,cooked__diced__kiwi.n.01,0,fromcooked,"{""type"": ""macro_physical_particle"", ""particle_density"": 748.0}"
cooked__diced__lamb,cooked__diced__lamb.n.01,0,manual,"{""type"": ""macro_physical_particle"", ""particle_density"": 1037.0}"
cooked__diced__leek,cooked__diced__leek.n.01,0,manual,"{""type"": ""macro_physical_particle"", ""particle_density"": 376.0}"
cooked__diced__lemon,cooked__diced__lemon.n.01,0,fromcooked,"{""type"": ""macro_physical_particle"", ""particle_density"": 761.0}"
cooked__diced__lemon_peel,cooked__diced__lemon_peel.n.01,0,manual,"{""type"": ""macro_physical_particle"", ""particle_density"": 406.0}"
cooked__diced__lettuce,cooked__diced__lettuce.n.01,0,fromcooked,"{""type"": ""macro_physical_particle"", ""particle_density"": 148.0}"
cooked__diced__lime,cooked__diced__lime.n.01,0,manual,"{""type"": ""macro_physical_particle"", ""particle_density"": 972.0}"
cooked__diced__lobster,cooked__diced__lobster.n.01,0,manual,"{""type"": ""macro_physical_particle"", ""particle_density"": 613.0}"
cooked__diced__macaroon,cooked__diced__macaroon.n.01,0,manual,"{""type"": ""macro_physical_particle"", ""particle_density"": 338.0}"
cooked__diced__mango,cooked__diced__mango.n.01,0,fromcooked,"{""type"": ""macro_physical_particle"", ""particle_density"": 697.0}"
cooked__diced__marshmallow,cooked__diced__marshmallow.n.01,0,manual,"{""type"": ""macro_physical_particle"", ""particle_density"": 406.0}"
cooked__diced__meat_loaf,cooked__diced__meat_loaf.n.01,0,manual,"{""type"": ""macro_physical_particle"", ""particle_density"": 592.0}"
cooked__diced__meatball,cooked__diced__meatball.n.01,0,manual,"{""type"": ""macro_physical_particle"", ""particle_density"": 993.0}"
cooked__diced__melon,cooked__diced__melon.n.01,0,manual,"{""type"": ""macro_physical_particle"", ""particle_density"": 748.0}"
cooked__diced__muffin,cooked__diced__muffin.n.01,0,manual,"{""type"": ""macro_physical_particle"", ""particle_density"": 433.0}"
cooked__diced__mushroom,cooked__diced__mushroom.n.01,0,manual,"{""type"": ""macro_physical_particle"", ""particle_density"": 296.0}"
cooked__diced__mustard,cooked__diced__mustard.n.01,0,manual,"{""type"": ""macro_physical_particle"", ""particle_density"": 1052.0}"
cooked__diced__nectarine,cooked__diced__nectarine.n.01,0,manual,"{""type"": ""macro_physical_particle"", ""particle_density"": 604.0}"
cooked__diced__olive,cooked__diced__olive.n.01,0,manual,"{""type"": ""macro_physical_particle"", ""particle_density"": 568.0}"
cooked__diced__omelet,cooked__diced__omelet.n.01,0,manual,"{""type"": ""macro_physical_particle"", ""particle_density"": 799.0}"
cooked__diced__onion,cooked__diced__onion.n.01,0,manual,"{""type"": ""macro_physical_particle"", ""particle_density"": 1079.0}"
cooked__diced__orange,cooked__diced__orange.n.01,0,gpt,"{""type"": ""macro_physical_particle"", ""particle_density"": 1050.0}"
cooked__diced__oxtail,cooked__diced__oxtail.n.01,1,manual,"{""type"": ""macro_physical_particle"", ""particle_density"": 566.0}"
cooked__diced__papaya,cooked__diced__papaya.n.01,0,manual,"{""type"": ""macro_physical_particle"", ""particle_density"": 592.0}"
cooked__diced__parsley,cooked__diced__parsley.n.01,0,manual,"{""type"": ""macro_physical_particle"", ""particle_density"": 257.0}"
cooked__diced__parsnip,cooked__diced__parsnip.n.01,0,manual,"{""type"": ""macro_physical_particle"", ""particle_density"": 562.0}"
cooked__diced__pastry,cooked__diced__pastry.n.01,0,manual,"{""type"": ""macro_physical_particle"", ""particle_density"": 1442.0}"
cooked__diced__peach,cooked__diced__peach.n.01,0,manual,"{""type"": ""macro_physical_particle"", ""particle_density"": 651.0}"
cooked__diced__pear,cooked__diced__pear.n.01,0,manual,"{""type"": ""macro_physical_particle"", ""particle_density"": 592.0}"
cooked__diced__peppermint,cooked__diced__peppermint.n.01,0,manual,"{""type"": ""macro_physical_particle"", ""particle_density"": 710.0}"
cooked__diced__pepperoni,cooked__diced__pepperoni.n.01,0,manual,"{""type"": ""macro_physical_particle"", ""particle_density"": 583.0}"
cooked__diced__pie_crust,cooked__diced__pie_crust.n.01,1,manual,"{""type"": ""macro_physical_particle"", ""particle_density"": 545.0}"
cooked__diced__pieplant,cooked__diced__pieplant.n.01,0,manual,"{""type"": ""macro_physical_particle"", ""particle_density"": 516.0}"
cooked__diced__pineapple,cooked__diced__pineapple.n.01,0,fromcooked,"{""type"": ""macro_physical_particle"", ""particle_density"": 732.0}"
cooked__diced__pita,cooked__diced__pita.n.01,0,manual,"{""type"": ""macro_physical_particle"", ""particle_density"": 254.0}"
cooked__diced__pizza,cooked__diced__pizza.n.01,0,manual,"{""type"": ""macro_physical_particle"", ""particle_density"": 503.0}"
cooked__diced__pizza_dough,cooked__diced__pizza_dough.n.01,0,manual,"{""type"": ""macro_physical_particle"", ""particle_density"": 1037.0}"
cooked__diced__plum,cooked__diced__plum.n.01,0,manual,"{""type"": ""macro_physical_particle"", ""particle_density"": 571.0}"
cooked__diced__pomegranate,cooked__diced__pomegranate.n.01,0,manual,"{""type"": ""macro_physical_particle"", ""particle_density"": 789.0}"
cooked__diced__pomelo,cooked__diced__pomelo.n.01,0,manual,"{""type"": ""macro_physical_particle"", ""particle_density"": 972.0}"
cooked__diced__pork,cooked__diced__pork.n.01,0,manual,"{""type"": ""macro_physical_particle"", ""particle_density"": 571.0}"
cooked__diced__porkchop,cooked__diced__porkchop.n.01,0,manual,"{""type"": ""macro_physical_particle"", ""particle_density"": 1037.0}"
cooked__diced__potato,cooked__diced__potato.n.01,0,fromcooked,"{""type"": ""macro_physical_particle"", ""particle_density"": 562.0}"
cooked__diced__potato_pancake,cooked__diced__potato_pancake.n.01,1,manual,"{""type"": ""macro_physical_particle"", ""particle_density"": 774.0}"
cooked__diced__prawn,cooked__diced__prawn.n.01,0,manual,"{""type"": ""macro_physical_particle"", ""particle_density"": 719.0}"
cooked__diced__prosciutto,cooked__diced__prosciutto.n.01,0,manual,"{""type"": ""macro_physical_particle"", ""particle_density"": 237.0}"
cooked__diced__pumpkin,cooked__diced__pumpkin.n.01,0,manual,"{""type"": ""macro_physical_particle"", ""particle_density"": 490.0}"
cooked__diced__quail,cooked__diced__quail.n.01,0,manual,"{""type"": ""macro_physical_particle"", ""particle_density"": 1037.0}"
cooked__diced__quiche,cooked__diced__quiche.n.01,0,manual,"{""type"": ""macro_physical_particle"", ""particle_density"": 676.0}"
cooked__diced__radish,cooked__diced__radish.n.01,0,manual,"{""type"": ""macro_physical_particle"", ""particle_density"": 647.0}"
cooked__diced__ramen,cooked__diced__ramen.n.01,0,manual,"{""type"": ""macro_physical_particle"", ""particle_density"": 271.0}"
cooked__diced__rib,cooked__diced__rib.n.01,0,manual,"{""type"": ""macro_physical_particle"", ""particle_density"": 812.0}"
cooked__diced__roast_beef,cooked__diced__roast_beef.n.01,0,manual,"{""type"": ""macro_physical_particle"", ""particle_density"": 1040.0}"
cooked__diced__roll_dough,cooked__diced__roll_dough.n.01,0,gpt,"{""type"": ""macro_physical_particle"", ""particle_density"": 500.0}"
cooked__diced__rutabaga,cooked__diced__rutabaga.n.01,0,manual,"{""type"": ""macro_physical_particle"", ""particle_density"": 719.0}"
cooked__diced__salmon,cooked__diced__salmon.n.01,0,manual,"{""type"": ""macro_physical_particle"", ""particle_density"": 1065.0}"
cooked__diced__scone,cooked__diced__scone.n.01,0,manual,"{""type"": ""macro_physical_particle"", ""particle_density"": 555.0}"
cooked__diced__shiitake,cooked__diced__shiitake.n.01,0,manual,"{""type"": ""macro_physical_particle"", ""particle_density"": 613.0}"
cooked__diced__sirloin,cooked__diced__sirloin.n.01,1,manual,"{""type"": ""macro_physical_particle"", ""particle_density"": 1037.0}"
cooked__diced__snapper,cooked__diced__snapper.n.01,0,manual,"{""type"": ""macro_physical_particle"", ""particle_density"": 1037.0}"
cooked__diced__sour_bread,cooked__diced__sour_bread.n.01,0,manual,"{""type"": ""macro_physical_particle"", ""particle_density"": 262.0}"
cooked__diced__sourdough,cooked__diced__sourdough.n.01,1,gpt,"{""type"": ""macro_physical_particle"", ""particle_density"": 320.0}"
cooked__diced__spice_cookie,cooked__diced__spice_cookie.n.01,0,manual,"{""type"": ""macro_physical_particle"", ""particle_density"": 862.0}"
cooked__diced__spice_cookie_dough,cooked__diced__spice_cookie_dough.n.01,0,manual,"{""type"": ""macro_physical_particle"", ""particle_density"": 1353.0}"
cooked__diced__spinach,cooked__diced__spinach.n.01,0,fromcooked,"{""type"": ""macro_physical_particle"", ""particle_density"": 127.0}"
cooked__diced__sprout,cooked__diced__sprout.n.01,1,manual,"{""type"": ""macro_physical_particle"", ""particle_density"": 359.0}"
cooked__diced__squid,cooked__diced__squid.n.01,0,manual,"{""type"": ""macro_physical_particle"", ""particle_density"": 930.0}"
cooked__diced__steak,cooked__diced__steak.n.01,0,fromcooked,"{""type"": ""macro_physical_particle"", ""particle_density"": 1037.0}"
cooked__diced__strawberry,cooked__diced__strawberry.n.01,0,gpt,"{""type"": ""macro_physical_particle"", ""particle_density"": 1000.0}"
cooked__diced__sugar_cookie,cooked__diced__sugar_cookie.n.01,0,manual,"{""type"": ""macro_physical_particle"", ""particle_density"": 862.0}"
cooked__diced__sugar_cookie_dough,cooked__diced__sugar_cookie_dough.n.01,0,manual,"{""type"": ""macro_physical_particle"", ""particle_density"": 1353.0}"
cooked__diced__sushi,cooked__diced__sushi.n.01,0,manual,"{""type"": ""macro_physical_particle"", ""particle_density"": 1048.0}"
cooked__diced__sweet_corn,cooked__diced__sweet_corn.n.01,0,manual,"{""type"": ""macro_physical_particle"", ""particle_density"": 1057.0}"
cooked__diced__taco,cooked__diced__taco.n.01,0,manual,"{""type"": ""macro_physical_particle"", ""particle_density"": 516.0}"
cooked__diced__tenderloin,cooked__diced__tenderloin.n.01,0,manual,"{""type"": ""macro_physical_particle"", ""particle_density"": 1037.0}"
cooked__diced__toast,cooked__diced__toast.n.01,0,manual,"{""type"": ""macro_physical_particle"", ""particle_density"": 190.0}"
cooked__diced__tofu,cooked__diced__tofu.n.01,0,manual,"{""type"": ""macro_physical_particle"", ""particle_density"": 1065.0}"
cooked__diced__tomato,cooked__diced__tomato.n.01,0,manual,"{""type"": ""macro_physical_particle"", ""particle_density"": 930.0}"
cooked__diced__tortilla,cooked__diced__tortilla.n.01,0,manual,"{""type"": ""macro_physical_particle"", ""particle_density"": 469.0}"
cooked__diced__tortilla_chip,cooked__diced__tortilla_chip.n.01,0,manual,"{""type"": ""macro_physical_particle"", ""particle_density"": 110.0}"
cooked__diced__trout,cooked__diced__trout.n.01,0,manual,"{""type"": ""macro_physical_particle"", ""particle_density"": 1037.0}"
cooked__diced__tuna,cooked__diced__tuna.n.01,0,manual,"{""type"": ""macro_physical_particle"", ""particle_density"": 976.0}"
cooked__diced__turkey,cooked__diced__turkey.n.01,0,manual,"{""type"": ""macro_physical_particle"", ""particle_density"": 592.0}"
cooked__diced__turkey_leg,cooked__diced__turkey_leg.n.01,0,manual,"{""type"": ""macro_physical_particle"", ""particle_density"": 592.0}"
cooked__diced__vanilla,cooked__diced__vanilla.n.01,0,manual,"{""type"": ""macro_physical_particle"", ""particle_density"": 879.0}"
cooked__diced__veal,cooked__diced__veal.n.01,0,manual,"{""type"": ""macro_physical_particle"", ""particle_density"": 1037.0}"
cooked__diced__venison,cooked__diced__venison.n.01,0,manual,"{""type"": ""macro_physical_particle"", ""particle_density"": 1098.0}"
cooked__diced__vidalia_onion,cooked__diced__vidalia_onion.n.01,0,fromcooked,"{""type"": ""macro_physical_particle"", ""particle_density"": 676.0}"
cooked__diced__virginia_ham,cooked__diced__virginia_ham.n.01,0,fromcooked,"{""type"": ""macro_physical_particle"", ""particle_density"": 592.0}"
cooked__diced__waffle,cooked__diced__waffle.n.01,0,manual,"{""type"": ""macro_physical_particle"", ""particle_density"": 507.0}"
cooked__diced__walnut,cooked__diced__walnut.n.01,0,manual,"{""type"": ""macro_physical_particle"", ""particle_density"": 495.0}"
cooked__diced__watermelon,cooked__diced__watermelon.n.01,0,fromcooked,"{""type"": ""macro_physical_particle"", ""particle_density"": 642.0}"
cooked__diced__white_turnip,cooked__diced__white_turnip.n.01,0,manual,"{""type"": ""macro_physical_particle"", ""particle_density"": 719.0}"
cooked__diced__whole_garlic,cooked__diced__whole_garlic.n.01,0,manual,"{""type"": ""macro_physical_particle"", ""particle_density"": 575.0}"
cooked__diced__yam,cooked__diced__yam.n.01,0,manual,"{""type"": ""macro_physical_particle"", ""particle_density"": 634.0}"
cooked__diced__zucchini,cooked__diced__zucchini.n.01,0,fromcooked,"{""type"": ""macro_physical_particle"", ""particle_density"": 524.0}"
cooked__dog_food,cooked__dog_food.n.01,0,fromcooked,"{""type"": ""macro_physical_particle"", ""particle_density"": 350.0}"
cooked__drip_coffee,cooked__drip_coffee.n.01,0,fromcooked,"{""type"": ""fluid"", ""particle_contact_offset"": 0.012, ""particle_density"": 1002.0, ""is_viscous"": false, ""material_mtl_name"": ""DeepWater"", ""customize_material_kwargs"": {""specular_transmission_weight"": 0.4, ""specular_transmission_scattering_depth"": 0.0, ""specular_transmission_color"": [0.26, 0.12, 0.07], ""specular_transmission_scattering_color"": [0.25, 0.12, 0.01]}}"
cooked__egg_white,cooked__egg_white.n.01,1,gpt,"{""type"": ""fluid"", ""particle_density"": 1050.0, ""particle_contact_offset"": 0.015, ""is_viscous"": false, ""material_mtl_name"": ""SkimMilk"", ""customize_material_kwargs"": {""specular_transmission_color"": [1, 1, 0.9], ""diffuse_reflection_color"": [1, 1, 0.9], ""specular_transmission_scattering_color"": [1, 1, 0.9]}}"
cooked__eggnog,cooked__eggnog.n.01,0,fromcooked,"{""type"": ""fluid"", ""particle_contact_offset"": 0.012, ""particle_density"": 1074.0, ""is_viscous"": false, ""material_mtl_name"": ""WholeMilk"", ""customize_material_kwargs"": {""diffuse_reflection_color"": [0.63, 0.57, 0.37], ""enable_diffuse_transmission"": false}}"
cooked__espresso,cooked__espresso.n.01,0,fromcooked,"{""type"": ""fluid"", ""particle_contact_offset"": 0.012, ""particle_density"": 1000.0, ""is_viscous"": false, ""material_mtl_name"": ""DeepWater"", ""customize_material_kwargs"": {""specular_transmission_weight"": 0.5, ""specular_transmission_scattering_depth"": 0.0, ""specular_transmission_color"": [0.24, 0.16, 0.09], ""specular_transmission_scattering_color"": [0.24, 0.16, 0.09]}}"
cooked__fennel,cooked__fennel.n.01,1,gpt,"{""type"": ""granular"", ""particle_density"": 600.0}"
cooked__filling,cooked__filling.n.01,1,gpt,"{""type"": ""fluid"", ""particle_density"": 800.0, ""particle_contact_offset"": 0.015, ""is_viscous"": true, ""material_mtl_name"": ""MapleSyrup"", ""customize_material_kwargs"": {""specular_transmission_color"": [0.8, 0.5, 0.2], ""diffuse_reflection_color"": [0.8, 0.5, 0.2], ""specular_transmission_scattering_color"": [0.8, 0.5, 0.2]}}"
cooked__flour,cooked__flour.n.01,0,fromcooked,"{""type"": ""granular"", ""particle_density"": 600.0}"
cooked__fritter_batter,cooked__fritter_batter.n.01,0,fromcooked,"{""type"": ""fluid"", ""particle_contact_offset"": 0.02, ""particle_density"": 1016.0, ""is_viscous"": true, ""material_mtl_name"": ""Jade"", ""customize_material_kwargs"": {""specular_transmission_weight"": 0.0, ""specular_transmission_color"": [0.84, 0.75, 0.66], ""diffuse_reflection_color"": [0.84, 0.75, 0.66]}}"
cooked__frosting,cooked__frosting.n.01,0,fromcooked,"{""type"": ""fluid"", ""particle_contact_offset"": 0.015, ""particle_density"": 1000.0, ""is_viscous"": true, ""material_mtl_name"": ""WholeMilk"", ""customize_material_kwargs"": {""diffuse_reflection_color"": [1.0, 0.95, 0.89], ""enable_diffuse_transmission"": false}}"
cooked__gazpacho,cooked__gazpacho.n.01,1,fromcooked,"{""type"": ""fluid"", ""particle_contact_offset"": 0.015, ""particle_density"": 1042.0, ""is_viscous"": true, ""material_mtl_name"": ""WholeMilk"", ""customize_material_kwargs"": {""diffuse_reflection_color"": [0.48, 0.15, 0.06], ""enable_diffuse_transmission"": false}}"
cooked__ginger,cooked__ginger.n.01,0,fromcooked,"{""type"": ""granular"", ""particle_density"": 406.0}"
cooked__granola,cooked__granola.n.01,0,fromcooked,"{""type"": ""macro_physical_particle"", ""particle_density"": 467.0}"
cooked__granulated_salt,cooked__granulated_salt.n.01,0,fromcooked,"{""type"": ""granular"", ""particle_density"": 2170.0}"
cooked__gravy,cooked__gravy.n.01,0,fromcooked,"{""type"": ""fluid"", ""particle_contact_offset"": 0.012, ""particle_density"": 959.0, ""is_viscous"": true, ""material_mtl_name"": ""WholeMilk"", ""customize_material_kwargs"": {""diffuse_reflection_color"": [0.2, 0.1, 0.04], ""enable_diffuse_transmission"": false}}"
cooked__green_tea,cooked__green_tea.n.01,0,fromcooked,"{""type"": ""macro_physical_particle"", ""particle_density"": 507.0}"
cooked__green_tea_latte,cooked__green_tea_latte.n.01,0,fromcooked,"{""type"": ""fluid"", ""particle_contact_offset"": 0.012, ""particle_density"": 1014.0, ""is_viscous"": false, ""material_mtl_name"": ""WholeMilk"", ""customize_material_kwargs"": {""diffuse_reflection_color"": [1.0, 0.96, 0.17], ""enable_diffuse_transmission"": false}}"
cooked__ground_beef,cooked__ground_beef.n.01,0,fromcooked,"{""type"": ""granular"", ""particle_density"": 1020.0}"
cooked__ground_coffee,cooked__ground_coffee.n.01,0,fromcooked,"{""type"": ""granular"", ""particle_density"": 710.0}"
cooked__guacamole,cooked__guacamole.n.01,1,gpt,"{""type"": ""fluid"", ""particle_density"": 1060.0, ""particle_contact_offset"": 0.015, ""is_viscous"": false, ""material_mtl_name"": ""PeanutButter"", ""customize_material_kwargs"": {""specular_transmission_color"": [0.33, 0.5, 0.25], ""diffuse_reflection_color"": [0.33, 0.5, 0.25], ""specular_transmission_scattering_color"": [0.33, 0.5, 0.25]}}"
cooked__heavy_cream,cooked__heavy_cream.n.01,0,fromcooked,"{""type"": ""fluid"", ""particle_contact_offset"": 0.015, ""particle_density"": 1008.0, ""is_viscous"": false, ""material_mtl_name"": ""WholeMilk"", ""customize_material_kwargs"": {""enable_diffuse_transmission"": false}}"
cooked__honey,cooked__honey.n.01,0,fromcooked,"{""type"": ""fluid"", ""particle_contact_offset"": 0.012, ""particle_density"": 1410.0, ""is_viscous"": true, ""material_mtl_name"": ""Honey"", ""customize_material_kwargs"": {}}"
cooked__hot_sauce,cooked__hot_sauce.n.01,0,fromcooked,"{""type"": ""fluid"", ""particle_contact_offset"": 0.012, ""particle_density"": 910.0, ""is_viscous"": false, ""material_mtl_name"": ""WholeMilk"", ""customize_material_kwargs"": {""diffuse_reflection_color"": [0.34, 0.0, 0.0], ""enable_diffuse_transmission"": false}}"
cooked__hummus,cooked__hummus.n.01,0,fromcooked,"{""type"": ""fluid"", ""particle_contact_offset"": 0.015, ""particle_density"": 1040.0, ""is_viscous"": true, ""material_mtl_name"": ""Jade"", ""customize_material_kwargs"": {""specular_transmission_weight"": 0.0, ""specular_transmission_color"": [0.81, 0.54, 0.39], ""diffuse_reflection_color"": [0.81, 0.54, 0.39]}}"
cooked__iced_cappuccino,cooked__iced_cappuccino.n.01,0,fromcooked,"{""type"": ""fluid"", ""particle_contact_offset"": 0.012, ""particle_density"": 1120.0, ""is_viscous"": false, ""material_mtl_name"": ""WholeMilk"", ""customize_material_kwargs"": {""diffuse_reflection_color"": [0.61, 0.5, 0.41], ""enable_diffuse_transmission"": false}}"
cooked__iced_chocolate,cooked__iced_chocolate.n.01,0,fromcooked,"{""type"": ""fluid"", ""particle_contact_offset"": 0.012, ""particle_density"": 1000.0, ""is_viscous"": false, ""material_mtl_name"": ""WholeMilk"", ""customize_material_kwargs"": {""diffuse_reflection_color"": [0.4, 0.34, 0.28], ""enable_diffuse_transmission"": false}}"
cooked__instant_coffee,cooked__instant_coffee.n.01,0,fromcooked,"{""type"": ""granular"", ""particle_density"": 308.0}"
cooked__jam,cooked__jam.n.01,0,fromcooked,"{""type"": ""fluid"", ""particle_contact_offset"": 0.017, ""particle_density"": 1296.4, ""is_viscous"": true, ""material_mtl_name"": ""Jade"", ""customize_material_kwargs"": {""specular_transmission_weight"": 0.07, ""specular_transmission_color"": [0.8, 0.06, 0.06], ""diffuse_reflection_color"": [0.8, 0.06, 0.06]}}"
cooked__jelly,cooked__jelly.n.01,0,fromcooked,"{""type"": ""fluid"", ""particle_contact_offset"": 0.017, ""particle_density"": 1352.0, ""is_viscous"": true, ""material_mtl_name"": ""DeepWater"", ""customize_material_kwargs"": {""specular_transmission_scattering_depth"": 0.0, ""specular_transmission_weight"": 0.2, ""specular_transmission_color"": [0.44, 0.15, 0.78], ""specular_transmission_scattering_color"": [0.25, 0.0, 0.56]}}"
cooked__jelly_bean,cooked__jelly_bean.n.01,0,fromcooked,"{""type"": ""macro_physical_particle"", ""particle_density"": 1000.0}"
cooked__jerk_seasoning,cooked__jerk_seasoning.n.01,0,fromcooked,"{""type"": ""granular"", ""particle_density"": 1217.0}"
cooked__jimmies,cooked__jimmies.n.01,0,fromcooked,"{""type"": ""granular"", ""particle_density"": 814.0}"
cooked__kidney_bean,cooked__kidney_bean.n.01,0,fromcooked,"{""type"": ""macro_physical_particle"", ""particle_density"": 748.0}"
cooked__lamb_stew,cooked__lamb_stew.n.01,1,gpt,"{""type"": ""fluid"", ""particle_density"": 1050.0, ""particle_contact_offset"": 0.015, ""is_viscous"": true, ""material_mtl_name"": ""MapleSyrup"", ""customize_material_kwargs"": {""specular_transmission_color"": [0.6, 0.3, 0.1], ""diffuse_reflection_color"": [0.6, 0.3, 0.1], ""specular_transmission_scattering_color"": [0.6, 0.3, 0.1]}}"
cooked__lemon_pepper_seasoning,cooked__lemon-pepper_seasoning.n.01,0,gpt,"{""type"": ""granular"", ""particle_density"": 550.0}"
cooked__lemon_juice,cooked__lemon_juice.n.01,0,fromcooked,"{""type"": ""fluid"", ""particle_contact_offset"": 0.012, ""particle_density"": 1040.0, ""is_viscous"": false, ""material_mtl_name"": ""ClearWater"", ""customize_material_kwargs"": {""specular_transmission_color"": [0.98, 1.0, 0.68]}}"
cooked__lemon_water,cooked__lemon_water.n.01,1,fromcooked,"{""type"": ""fluid"", ""particle_contact_offset"": 0.012, ""particle_density"": 1000.0, ""is_viscous"": false, ""material_mtl_name"": ""DeepWater"", ""customize_material_kwargs"": {""specular_transmission_color"": [1.0, 1.0, 1.0], ""specular_transmission_scattering_color"": [1.0, 0.99, 0.64]}}"
cooked__lemonade,cooked__lemonade.n.01,0,fromcooked,"{""type"": ""fluid"", ""particle_contact_offset"": 0.012, ""particle_density"": 1000.0, ""is_viscous"": false, ""material_mtl_name"": ""DeepWater"", ""customize_material_kwargs"": {""specular_transmission_scattering_depth"": 0.0, ""specular_transmission_color"": [0.98, 1.0, 0.56], ""specular_transmission_scattering_color"": [0.85, 0.67, 0.11]}}"
cooked__lentil,cooked__lentil.n.01,1,gpt,"{""type"": ""granular"", ""particle_density"": 800.0}"
cooked__lima_bean,cooked__lima_bean.n.01,1,gpt,"{""type"": ""macro_physical_particle"", ""particle_density"": 641.0}"
cooked__lime_juice,cooked__lime_juice.n.01,0,fromcooked,"{""type"": ""fluid"", ""particle_contact_offset"": 0.012, ""particle_density"": 1000.0, ""is_viscous"": false, ""material_mtl_name"": ""ClearWater"", ""customize_material_kwargs"": {""specular_transmission_color"": [0.98, 1.0, 0.68]}}"
cooked__limeade,cooked__limeade.n.01,0,fromcooked,"{""type"": ""fluid"", ""particle_contact_offset"": 0.012, ""particle_density"": 1000.0, ""is_viscous"": false, ""material_mtl_name"": ""DeepWater"", ""customize_material_kwargs"": {""specular_transmission_color"": [0.99, 0.99, 0.85], ""specular_transmission_scattering_color"": [0.57, 0.83, 0.0]}}"
cooked__macaroni,cooked__macaroni.n.01,1,gpt,"{""type"": ""macro_physical_particle"", ""particle_density"": 750.0}"
cooked__mace,cooked__mace.n.01,1,gpt,"{""type"": ""granular"", ""particle_density"": 860.0}"
